_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.1,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,M1,1,0
1,-3.8,GO:1901800,positive regulation of proteasomal protein catabolic process,M1,1,0
1,-25,GO:0051301,cell division,M1,1,0
1,-5.9,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,M1,1,0
1,-4.8,GO:0007096,regulation of exit from mitosis,M1,1,0
1,-4.4,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-2.2,GO:0048608,reproductive structure development,M1,1,0
1,-2.1,GO:0000902,cell morphogenesis,M1,1,0
1,-5,GO:1902101,positive regulation of metaphase/anaphase transition of cell cycle,M1,1,0
1,-3.3,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,M1,1,0
1,-4.9,GO:1904666,regulation of ubiquitin protein ligase activity,M1,1,0
1,-4.9,R-HSA-9013106,RHOC GTPase cycle,M1,1,0
1,-2.8,hsa05203,Viral carcinogenesis,M1,1,0
1,-3.3,R-HSA-9013149,RAC1 GTPase cycle,M1,1,0
1,-15,GO:0000280,nuclear division,M1,1,0
1,-3.7,GO:0006334,nucleosome assembly,M1,1,0
1,-4,GO:0051438,regulation of ubiquitin-protein transferase activity,M1,1,0
1,-8.1,WP2361,Gastric cancer network 1,M1,1,0
1,-20,GO:0000278,mitotic cell cycle,M1,1,0
1,-2.3,GO:0007018,microtubule-based movement,M1,1,0
1,-2.3,R-HSA-9609646,HCMV Infection,M1,1,0
1,-5,WP179,Cell cycle,M1,1,0
1,-12,GO:0007346,regulation of mitotic cell cycle,M1,1,0
1,-4.2,WP2363,Gastric cancer network 2,M1,1,0
1,-4.2,R-HSA-69306,DNA Replication,M1,1,0
1,-5.5,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-7.7,R-HSA-194315,Signaling by Rho GTPases,M1,1,0
1,-4.6,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,M1,1,0
1,-2.8,GO:0010639,negative regulation of organelle organization,M1,1,0
1,-5.4,GO:0051781,positive regulation of cell division,M1,1,0
1,-2.1,GO:0007517,muscle organ development,M1,1,0
1,-2.8,GO:0008283,cell population proliferation,M1,1,0
1,-3.3,GO:0008584,male gonad development,M1,1,0
1,-6.8,GO:0140694,membraneless organelle assembly,M1,1,0
1,-5,GO:0032147,activation of protein kinase activity,M1,1,0
1,-5.3,GO:0045840,positive regulation of mitotic nuclear division,M1,1,0
1,-3.3,GO:0060828,regulation of canonical Wnt signaling pathway,M1,1,0
1,-3.1,GO:0046661,male sex differentiation,M1,1,0
1,-7.8,R-HSA-2555396,Mitotic Metaphase and Anaphase,M1,1,0
1,-3.9,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,M1,1,0
1,-4.1,GO:0045132,meiotic chromosome segregation,M1,1,0
1,-2.4,WP2004,miR targeted genes in lymphocytes,M1,1,0
1,-7.1,GO:0051640,organelle localization,M1,1,0
1,-2.8,GO:0030111,regulation of Wnt signaling pathway,M1,1,0
1,-2.5,R-HSA-68867,Assembly of the pre-replicative complex,M1,1,0
1,-3.1,GO:0006879,intracellular iron ion homeostasis,M1,1,0
1,-3.6,GO:0000086,G2/M transition of mitotic cell cycle,M1,1,0
1,-5,R-HSA-176408,Regulation of APC/C activators between G1/S and early anaphase,M1,1,0
1,-3.5,R-HSA-69242,S Phase,M1,1,0
1,-5.8,GO:0044772,mitotic cell cycle phase transition,M1,1,0
1,-3.2,GO:0097435,supramolecular fiber organization,M1,1,0
1,-3.7,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,M1,1,0
1,-2.2,GO:0009792,embryo development ending in birth or egg hatching,M1,1,0
1,-15,R-HSA-69278,"Cell Cycle, Mitotic",M1,1,0
1,-3.6,R-HSA-9013148,CDC42 GTPase cycle,M1,1,0
1,-2.4,GO:0030879,mammary gland development,M1,1,0
1,-4.6,GO:0010562,positive regulation of phosphorus metabolic process,M1,1,0
1,-6.8,GO:0090307,mitotic spindle assembly,M1,1,0
1,-3,GO:0007265,Ras protein signal transduction,M1,1,0
1,-3.2,R-HSA-69052,Switching of origins to a post-replicative state,M1,1,0
1,-4.1,GO:1904893,negative regulation of receptor signaling pathway via STAT,M1,1,0
1,-8,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,M1,1,0
1,-4.7,GO:0045931,positive regulation of mitotic cell cycle,M1,1,0
1,-3.2,R-HSA-2299718,Condensation of Prophase Chromosomes,M1,1,0
1,-3.3,GO:0031109,microtubule polymerization or depolymerization,M1,1,0
1,-2.6,GO:0097191,extrinsic apoptotic signaling pathway,M1,1,0
1,-2.2,GO:0030097,hemopoiesis,M1,1,0
1,-7.8,GO:0061640,cytoskeleton-dependent cytokinesis,M1,1,0
1,-2.3,R-HSA-69002,DNA Replication Pre-Initiation,M1,1,0
1,-2.3,GO:0000018,regulation of DNA recombination,M1,1,0
1,-2.9,GO:0045664,regulation of neuron differentiation,M1,1,0
1,-2.7,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-2.2,GO:0032984,protein-containing complex disassembly,M1,1,0
1,-2.3,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-3.7,R-HSA-453279,Mitotic G1 phase and G1/S transition,M1,1,0
1,-7.8,GO:0000910,cytokinesis,M1,1,0
1,-11,GO:0000226,microtubule cytoskeleton organization,M1,1,0
1,-2.1,hsa05161,Hepatitis B,M1,1,0
1,-2.9,R-HSA-157118,Signaling by NOTCH,M1,1,0
1,-3.5,R-HSA-983189,Kinesins,M1,1,0
1,-3,GO:0051310,metaphase chromosome alignment,M1,1,0
1,-2.9,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-5.5,R-HSA-69618,Mitotic Spindle Checkpoint,M1,1,0
1,-3.4,GO:0051293,establishment of spindle localization,M1,1,0
1,-2.2,GO:0030099,myeloid cell differentiation,M1,1,0
1,-3.4,GO:0034728,nucleosome organization,M1,1,0
1,-2.5,GO:0043523,regulation of neuron apoptotic process,M1,1,0
1,-17,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-2.5,GO:1901873,regulation of post-translational protein modification,M1,1,0
1,-4.7,GO:0051653,spindle localization,M1,1,0
1,-6.6,GO:1901990,regulation of mitotic cell cycle phase transition,M1,1,0
1,-6.9,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,M1,1,0
1,-3.7,R-HSA-5663220,RHO GTPases Activate Formins,M1,1,0
1,-16,GO:0140014,mitotic nuclear division,M1,1,0
1,-4.9,GO:0016567,protein ubiquitination,M1,1,0
1,-7.7,GO:0051302,regulation of cell division,M1,1,0
1,-14,GO:0007088,regulation of mitotic nuclear division,M1,1,0
1,-3.3,R-HSA-8854518,AURKA Activation by TPX2,M1,1,0
1,-3.5,R-HSA-68875,Mitotic Prophase,M1,1,0
1,-4.1,GO:0043085,positive regulation of catalytic activity,M1,1,0
1,-2.5,WP5115,Network map of SARS CoV 2 signaling,M1,1,0
1,-3.9,R-HSA-69206,G1/S Transition,M1,1,0
1,-6.9,GO:0044770,cell cycle phase transition,M1,1,0
1,-3.8,GO:0032506,cytokinetic process,M1,1,0
1,-2,R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,M1,1,0
1,-2.2,GO:0061458,reproductive system development,M1,1,0
1,-3.3,GO:0090090,negative regulation of canonical Wnt signaling pathway,M1,1,0
1,-3.4,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-3.8,GO:0001932,regulation of protein phosphorylation,M1,1,0
1,-6,GO:1904668,positive regulation of ubiquitin protein ligase activity,M1,1,0
1,-4.4,GO:0042325,regulation of phosphorylation,M1,1,0
1,-8,R-HSA-453276,Regulation of mitotic cell cycle,M1,1,0
1,-3.8,GO:0032570,response to progesterone,M1,1,0
1,-4.9,GO:1901989,positive regulation of cell cycle phase transition,M1,1,0
1,-5.1,GO:0032467,positive regulation of cytokinesis,M1,1,0
1,-4.6,GO:0051988,regulation of attachment of spindle microtubules to kinetochore,M1,1,0
1,-2.3,GO:0051603,proteolysis involved in protein catabolic process,M1,1,0
1,-8.4,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,M1,1,0
1,-2.4,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,M1,1,0
1,-3.2,GO:0048732,gland development,M1,1,0
1,-14,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.3,hsa04114,Oocyte meiosis,M1,1,0
1,-3.6,R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,M1,1,0
1,-4.8,GO:0051785,positive regulation of nuclear division,M1,1,0
1,-3,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,M1,1,0
1,-6.7,GO:0051225,spindle assembly,M1,1,0
1,-2.3,R-HSA-5693532,DNA Double-Strand Break Repair,M1,1,0
1,-3.3,R-HSA-2559583,Cellular Senescence,M1,1,0
1,-4.4,R-HSA-141424,Amplification of signal from the kinetochores,M1,1,0
1,-3.9,GO:0045814,"negative regulation of gene expression, epigenetic",M1,1,0
1,-5,GO:0051383,kinetochore organization,M1,1,0
1,-4.9,GO:0033047,regulation of mitotic sister chromatid segregation,M1,1,0
1,-6.1,GO:0071174,mitotic spindle checkpoint signaling,M1,1,0
1,-2.3,GO:0007548,sex differentiation,M1,1,0
1,-2.6,GO:1903050,regulation of proteolysis involved in protein catabolic process,M1,1,0
1,-4.4,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,M1,1,0
1,-5.4,R-HSA-68877,Mitotic Prometaphase,M1,1,0
1,-8.9,GO:0090068,positive regulation of cell cycle process,M1,1,0
1,-7.4,M176,PID FOXM1 PATHWAY,M1,1,0
1,-2.5,GO:1902749,regulation of cell cycle G2/M phase transition,M1,1,0
1,-3.5,GO:0007093,mitotic cell cycle checkpoint signaling,M1,1,0
1,-2.1,GO:0070507,regulation of microtubule cytoskeleton organization,M1,1,0
1,-2.2,GO:0051056,regulation of small GTPase mediated signal transduction,M1,1,0
1,-4.1,GO:0051303,establishment of chromosome localization,M1,1,0
1,-2.8,GO:1904892,regulation of receptor signaling pathway via STAT,M1,1,0
1,-3.3,GO:0031507,heterochromatin formation,M1,1,0
1,-9.5,GO:0007051,spindle organization,M1,1,0
1,-3.8,GO:0031398,positive regulation of protein ubiquitination,M1,1,0
1,-5.6,GO:1901987,regulation of cell cycle phase transition,M1,1,0
1,-3.9,M14,PID AURORA B PATHWAY,M1,1,0
1,-5.5,GO:0045839,negative regulation of mitotic nuclear division,M1,1,0
1,-3.7,R-HSA-9013405,RHOD GTPase cycle,M1,1,0
1,-5.1,GO:1902412,regulation of mitotic cytokinesis,M1,1,0
1,-6.1,GO:0051656,establishment of organelle localization,M1,1,0
1,-4.1,R-HSA-5689880,Ub-specific processing proteases,M1,1,0
1,-2.1,GO:1901617,organic hydroxy compound biosynthetic process,M1,1,0
1,-3.4,GO:0006998,nuclear envelope organization,M1,1,0
1,-5.3,R-HSA-195258,RHO GTPase Effectors,M1,1,0
1,-2.7,R-HSA-9610379,HCMV Late Events,M1,1,0
1,-3.8,R-HSA-9012852,Signaling by NOTCH3,M1,1,0
1,-3.3,GO:0006997,nucleus organization,M1,1,0
1,-2.4,GO:0061982,meiosis I cell cycle process,M1,1,0
1,-3.7,GO:0090224,regulation of spindle organization,M1,1,0
1,-8.1,GO:0033044,regulation of chromosome organization,M1,1,0
1,-5,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,M1,1,0
1,-5.3,GO:0051784,negative regulation of nuclear division,M1,1,0
1,-6.7,GO:1901970,positive regulation of mitotic sister chromatid separation,M1,1,0
1,-2.5,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-2.9,GO:0061136,regulation of proteasomal protein catabolic process,M1,1,0
1,-5.8,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,M1,1,0
1,-2.1,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.7,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),M1,1,0
1,-3.5,R-HSA-5688426,Deubiquitination,M1,1,0
1,-3.8,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M1,1,0
1,-4.6,GO:0045937,positive regulation of phosphate metabolic process,M1,1,0
1,-3.5,R-HSA-109582,Hemostasis,M1,1,0
1,-4.1,GO:0006259,DNA metabolic process,M1,1,0
1,-15,GO:0000819,sister chromatid segregation,M1,1,0
1,-2.3,GO:0001649,osteoblast differentiation,M1,1,0
1,-14,GO:0048285,organelle fission,M1,1,0
1,-3.2,GO:0048545,response to steroid hormone,M1,1,0
1,-5.8,R-HSA-69620,Cell Cycle Checkpoints,M1,1,0
1,-2.1,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-5.8,GO:0065004,protein-DNA complex assembly,M1,1,0
1,-2.5,GO:1901988,negative regulation of cell cycle phase transition,M1,1,0
1,-4.4,GO:0051321,meiotic cell cycle,M1,1,0
1,-5.9,GO:2000816,negative regulation of mitotic sister chromatid separation,M1,1,0
1,-4,GO:0022411,cellular component disassembly,M1,1,0
1,-2.3,GO:0051053,negative regulation of DNA metabolic process,M1,1,0
1,-8.1,GO:0010965,regulation of mitotic sister chromatid separation,M1,1,0
1,-6,M242,PID AURORA A PATHWAY,M1,1,0
1,-2.6,GO:0043549,regulation of kinase activity,M1,1,0
1,-5.3,GO:0050000,chromosome localization,M1,1,0
1,-3.3,GO:0046546,development of primary male sexual characteristics,M1,1,0
1,-4.7,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,M1,1,0
1,-6.1,GO:0044784,metaphase/anaphase transition of cell cycle,M1,1,0
1,-2.8,R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,M1,1,0
1,-3.1,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-4.1,WP1601,Fluoropyrimidine activity,M1,1,0
1,-9.2,GO:0045787,positive regulation of cell cycle,M1,1,0
1,-3,GO:0030178,negative regulation of Wnt signaling pathway,M1,1,0
1,-2.9,GO:0010638,positive regulation of organelle organization,M1,1,0
1,-7.5,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-2.7,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.8,R-HSA-8957275,Post-translational protein phosphorylation,M1,1,0
1,-3.5,GO:1903052,positive regulation of proteolysis involved in protein catabolic process,M1,1,0
1,-2.5,R-HSA-9609690,HCMV Early Events,M1,1,0
1,-2.5,GO:0032355,response to estradiol,M1,1,0
1,-8.7,GO:0000281,mitotic cytokinesis,M1,1,0
1,-2,GO:0030162,regulation of proteolysis,M1,1,0
1,-2.9,R-HSA-3214815,HDACs deacetylate histones,M1,1,0
1,-3.1,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-2.4,GO:0021987,cerebral cortex development,M1,1,0
1,-5.4,GO:1903490,positive regulation of mitotic cytokinesis,M1,1,0
1,-3.8,GO:0040001,establishment of mitotic spindle localization,M1,1,0
1,-5.2,GO:1901992,positive regulation of mitotic cell cycle phase transition,M1,1,0
1,-2.3,hsa05322,Systemic lupus erythematosus,M1,1,0
