_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-14.324315329922078,GO:0048285,M1,1,0,GO Biological Processes,19,organelle fission,19_GO:0009987 cellular process,-14.324315329922078,17.8814359943316,15.569707409836205,30284,348,73,15,20.54794520547945,4.729065574793037,332|991|4751|5347|9232|9787|9928|10051|11004|11065|22974|29128|51203|146909|259266,BIRC5|CDC20|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-11.060166772892096,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-11.96600423598084,GO:1902850,M1,1,0,GO Biological Processes,19,microtubule cytoskeleton organization involved in mitosis,19_GO:0009987 cellular process,-11.96600423598084,30.729578893962458,17.017568754317985,30284,135,73,10,13.698630136986301,4.024259561042188,332|991|4751|5347|9787|10460|22974|29128|51203|89958,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1|NUSAP1|SAPCD2,-8.87794693800654,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-11.147271375175166,GO:0000226,M1,1,0,GO Biological Processes,19,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-11.147271375175166,10.765985685168506,11.652959635517266,30284,578,73,15,20.54794520547945,4.729065574793037,332|991|4751|5347|9787|10460|11004|22974|29128|51203|57530|89958|146909|259266|283431,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|KIF2C|TPX2|UHRF1|NUSAP1|CGN|SAPCD2|KIF18B|ASPM|GAS2L3,-8.10497156776154,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-9.957321044986665,GO:0007052,M1,1,0,GO Biological Processes,19,mitotic spindle organization,19_GO:0009987 cellular process,-9.957321044986665,33.52317697523177,15.932843762312757,30284,99,73,8,10.95890410958904,3.6560942399572314,332|991|4751|5347|9787|10460|22974|29128,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1,-6.936210536642978,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-9.518826034962895,GO:0007051,M1,1,0,GO Biological Processes,19,spindle organization,19_GO:0009987 cellular process,-9.518826034962895,22.09256707465348,13.516357972814676,30284,169,73,9,12.32876712328767,3.8479281269960732,332|991|4751|5347|9787|10460|22974|29128|259266,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1|ASPM,-6.517918912707495,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-6.816568888140569,GO:0090307,M1,1,0,GO Biological Processes,19,mitotic spindle assembly,19_GO:0009987 cellular process,-6.816568888140569,40.67150147730325,13.938031181479658,30284,51,73,5,6.8493150684931505,2.9563453696090036,332|991|4751|22974|29128,BIRC5|CDC20|NEK2|TPX2|UHRF1,-4.15448032243855,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-6.7533228515565815,GO:0140694,M1,1,0,GO Biological Processes,19,membraneless organelle assembly,19_GO:0009987 cellular process,-6.7533228515565815,10.606942714819427,8.911832031617408,30284,352,73,9,12.32876712328767,3.8479281269960732,332|991|1063|4751|9787|22974|29128|54443|259266,BIRC5|CDC20|CENPF|NEK2|DLGAP5|TPX2|UHRF1|ANLN|ASPM,-4.1001891285074885,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-6.698357686609621,GO:0051225,M1,1,0,GO Biological Processes,19,spindle assembly,19_GO:0009987 cellular process,-6.698357686609621,23.933614330874608,11.516165157587185,30284,104,73,6,8.219178082191782,3.2146132937554075,332|991|4751|22974|29128|259266,BIRC5|CDC20|NEK2|TPX2|UHRF1|ASPM,-4.062598059629951,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-14.903247716236548,R-HSA-69278,M1,1,0,Reactome Gene Sets,6,"Cell Cycle, Mitotic",,-14.903247716236548,14.847238644556597,14.952527372809264,30284,475,73,17,23.28767123287671,4.946911990761921,890|991|1063|3930|4001|4751|5347|6241|7298|8340|9232|9837|10051|11004|11065|22974|51053,CCNA2|CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|RRM2|TYMS|H2BC13|PTTG1|GINS1|SMC4|KIF2C|UBE2C|TPX2|GMNN,-11.50375146736071,0,2,1,1,-14.903247716236548,14.847238644556597,
1,-13.438202825861262,R-HSA-1640170,M1,1,0,Reactome Gene Sets,6,Cell Cycle,,-13.438202825861262,12.076093075623945,13.285965592321942,30284,584,73,17,23.28767123287671,4.946911990761921,890|991|1063|3930|4001|4751|5347|6241|7298|8340|9232|9837|10051|11004|11065|22974|51053,CCNA2|CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|RRM2|TYMS|H2BC13|PTTG1|GINS1|SMC4|KIF2C|UBE2C|TPX2|GMNN,-10.29899300543958,0,2,0,0,-14.903247716236548,14.847238644556597,
1,-14.123883100704735,GO:0007088,M1,1,0,GO Biological Processes,19,regulation of mitotic nuclear division,19_GO:0050789 regulation of biological process,-14.123883100704735,37.71357409713574,19.89117377332691,30284,121,73,11,15.068493150684931,4.18704759034147,332|991|1063|4288|4751|5347|9585|9787|11065|51203|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|KIF20B|DLGAP5|UBE2C|NUSAP1|CDCA2,-10.894496649933965,0,3,1,1,-14.123883100704735,155.56849315068496,
1,-13.691292730770124,GO:0010564,M1,1,0,GO Biological Processes,19,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-13.691292730770124,10.15739302358424,12.703142066468716,30284,776,73,19,26.027397260273972,5.135578715016169,332|991|1063|1894|4288|4751|5347|6241|9585|9787|9928|10051|10460|11004|11065|22974|51203|54443|157313,BIRC5|CDC20|CENPF|ECT2|MKI67|NEK2|PLK1|RRM2|KIF20B|DLGAP5|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|ANLN|CDCA2,-10.494090963370756,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-13.519286799393571,GO:0051983,M1,1,0,GO Biological Processes,19,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-13.519286799393571,33.309069093090685,18.631207644185025,30284,137,73,11,15.068493150684931,4.18704759034147,332|991|1063|4288|5347|9787|10051|10460|11004|11065|157313,BIRC5|CDC20|CENPF|MKI67|PLK1|DLGAP5|SMC4|TACC3|KIF2C|UBE2C|CDCA2,-10.352048255371646,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-13.17842095459618,GO:0051783,M1,1,0,GO Biological Processes,19,regulation of nuclear division,19_GO:0050789 regulation of biological process,-13.17842095459618,31.0431460255335,17.948675046362943,30284,147,73,11,15.068493150684931,4.18704759034147,332|991|1063|4288|4751|5347|9585|9787|11065|51203|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|KIF20B|DLGAP5|UBE2C|NUSAP1|CDCA2,-10.065540072896848,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-11.646468710206197,GO:0007346,M1,1,0,GO Biological Processes,19,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-11.646468710206197,11.67493381993883,12.222395694369842,30284,533,73,15,20.54794520547945,4.729065574793037,332|991|1063|4288|4751|5347|6241|9585|9787|9928|11065|51053|51203|54443|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|RRM2|KIF20B|DLGAP5|KIF14|UBE2C|GMNN|NUSAP1|ANLN|CDCA2,-8.581892508081419,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-9.19511803193726,GO:0045787,M1,1,0,GO Biological Processes,19,positive regulation of cell cycle,19_GO:0048518 positive regulation of biological process,-9.19511803193726,13.304205439514357,11.26537909993057,30284,343,73,11,15.068493150684931,4.18704759034147,332|991|1894|6241|7042|9585|9787|9928|10051|11065|51203,BIRC5|CDC20|ECT2|RRM2|TGFB2|KIF20B|DLGAP5|KIF14|SMC4|UBE2C|NUSAP1,-6.213516064877247,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-9.130705050469798,GO:1905818,M1,1,0,GO Biological Processes,19,regulation of chromosome separation,19_GO:0050789 regulation of biological process,-9.130705050469798,37.71357409713574,15.856106646996189,30284,77,73,7,9.58904109589041,3.446170001233583,332|991|1063|5347|9787|10051|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|SMC4|UBE2C,-6.1675864891037975,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-9.051136633542162,R-HSA-68886,M1,1,0,Reactome Gene Sets,6,M Phase,,-9.051136633542162,12.89079792585713,11.062100485744189,30284,354,73,11,15.068493150684931,4.18704759034147,991|1063|3930|4001|4751|5347|8340|9232|10051|11004|11065,CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|H2BC13|PTTG1|SMC4|KIF2C|UBE2C,-6.105746839136593,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.945658178081835,GO:0090068,M1,1,0,GO Biological Processes,19,positive regulation of cell cycle process,19_GO:0048518 positive regulation of biological process,-8.945658178081835,15.19594560690451,11.582004907890541,30284,273,73,10,13.698630136986301,4.024259561042188,332|991|1894|6241|9585|9787|9928|10051|11065|51203,BIRC5|CDC20|ECT2|RRM2|KIF20B|DLGAP5|KIF14|SMC4|UBE2C|NUSAP1,-6.017301722975047,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.376841661891001,R-HSA-176814,M1,1,0,Reactome Gene Sets,6,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,,-8.376841661891001,45.256288916562895,16.148150039102582,30284,55,73,6,8.219178082191782,3.2146132937554075,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-5.480669890155614,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.092143186607656,GO:0033045,M1,1,0,GO Biological Processes,19,regulation of sister chromatid segregation,19_GO:0050789 regulation of biological process,-8.092143186607656,26.88838153221715,13.24842558014678,30284,108,73,7,9.58904109589041,3.446170001233583,332|991|1063|5347|9787|10460|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|TACC3|UBE2C,-5.2334294594609965,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.08539756870433,GO:0033044,M1,1,0,GO Biological Processes,19,regulation of chromosome organization,19_GO:0050789 regulation of biological process,-8.08539756870433,15.17741396592048,10.975072440438291,30284,246,73,9,12.32876712328767,3.8479281269960732,332|991|1063|4751|5347|9787|10051|10460|11065,BIRC5|CDC20|CENPF|NEK2|PLK1|DLGAP5|SMC4|TACC3|UBE2C,-5.2334294594609965,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.056158101736663,GO:0010965,M1,1,0,GO Biological Processes,19,regulation of mitotic sister chromatid separation,19_GO:0050789 regulation of biological process,-8.056158101736663,40.146707909854186,15.167283952206228,30284,62,73,6,8.219178082191782,3.2146132937554075,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-5.217978276978963,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.013516402584528,R-HSA-174143,M1,1,0,Reactome Gene Sets,6,APC/C-mediated degradation of cell cycle proteins,,-8.013516402584528,39.50945857795173,15.04047665503584,30284,63,73,6,8.219178082191782,3.2146132937554075,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-5.201665516549177,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-8.013516402584528,R-HSA-453276,M1,1,0,Reactome Gene Sets,6,Regulation of mitotic cell cycle,,-8.013516402584528,39.50945857795173,15.04047665503584,30284,63,73,6,8.219178082191782,3.2146132937554075,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-5.201665516549177,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-7.868012431769399,GO:1905820,M1,1,0,GO Biological Processes,19,positive regulation of chromosome separation,19_GO:0048518 positive regulation of biological process,-7.868012431769399,64.82020547945206,17.75556388734995,30284,32,73,5,6.8493150684931505,2.9563453696090036,332|991|9787|10051|11065,BIRC5|CDC20|DLGAP5|SMC4|UBE2C,-5.068750673042068,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-7.778742347291518,R-HSA-68882,M1,1,0,Reactome Gene Sets,6,Mitotic Anaphase,,-7.778742347291518,17.842981293268522,11.326218807650674,30284,186,73,8,10.95890410958904,3.6560942399572314,991|1063|3930|4001|5347|9232|11004|11065,CDC20|CENPF|LBR|LMNB1|PLK1|PTTG1|KIF2C|UBE2C,-5.015196140830721,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-7.760584091417308,R-HSA-2555396,M1,1,0,Reactome Gene Sets,6,Mitotic Metaphase and Anaphase,,-7.760584091417308,17.747564281005054,11.292476108909955,30284,187,73,8,10.95890410958904,3.6560942399572314,991|1063|3930|4001|5347|9232|11004|11065,CDC20|CENPF|LBR|LMNB1|PLK1|PTTG1|KIF2C|UBE2C,-5.008318895366201,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.988297639563078,GO:0030071,M1,1,0,GO Biological Processes,19,regulation of mitotic metaphase/anaphase transition,19_GO:0050789 regulation of biological process,-6.988297639563078,26.764471939902787,12.232135937863532,30284,93,73,6,8.219178082191782,3.2146132937554075,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-4.298180350260815,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.905761166340914,GO:1902099,M1,1,0,GO Biological Processes,19,regulation of metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-6.905761166340914,25.928082191780828,12.02501541253594,30284,96,73,6,8.219178082191782,3.2146132937554075,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-4.2345292211990255,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.744157136039173,GO:1901970,M1,1,0,GO Biological Processes,19,positive regulation of mitotic sister chromatid separation,19_GO:0048518 positive regulation of biological process,-6.744157136039173,79.01891715590345,17.580527614344792,30284,21,73,4,5.47945205479452,2.6636076335416026,332|991|9787|11065,BIRC5|CDC20|DLGAP5|UBE2C,-4.099797337297586,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.689868728519395,R-HSA-176409,M1,1,0,Reactome Gene Sets,6,APC/C:Cdc20 mediated degradation of mitotic proteins,,-6.689868728519395,38.41197361745307,13.525918106303479,30284,54,73,5,6.8493150684931505,2.9563453696090036,890|991|4751|9232|11065,CCNA2|CDC20|NEK2|PTTG1|UBE2C,-4.062542269076587,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.561297280811961,GO:1901990,M1,1,0,GO Biological Processes,19,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-6.561297280811961,10.063730015138647,8.634600679800023,30284,371,73,9,12.32876712328767,3.8479281269960732,332|991|1063|5347|6241|9787|9928|11065|54443,BIRC5|CDC20|CENPF|PLK1|RRM2|DLGAP5|KIF14|UBE2C|ANLN,-3.9422433473351433,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.1272623627038785,GO:0044784,M1,1,0,GO Biological Processes,19,metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-6.1272623627038785,155.56849315068496,21.492901394234217,30284,8,73,3,4.109589041095891,2.3234073408566323,991|5347|10460,CDC20|PLK1|TACC3,-3.5163263194492402,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.090516056746089,GO:0007094,M1,1,0,GO Biological Processes,19,mitotic spindle assembly checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.090516056746089,55.313242009132416,14.630301663992187,30284,30,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.503061109340974,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.090516056746089,GO:0071173,M1,1,0,GO Biological Processes,19,spindle assembly checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.090516056746089,55.313242009132416,14.630301663992187,30284,30,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.503061109340974,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.090516056746089,GO:0071174,M1,1,0,GO Biological Processes,19,mitotic spindle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.090516056746089,55.313242009132416,14.630301663992187,30284,30,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.503061109340974,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-6.031309550079063,GO:0031577,M1,1,0,GO Biological Processes,19,spindle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.031309550079063,53.52894387980557,14.383799487864366,30284,31,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.4661309973851004,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.951924382215906,GO:1904668,M1,1,0,GO Biological Processes,19,positive regulation of ubiquitin protein ligase activity,19_GO:0048518 positive regulation of biological process,-5.951924382215906,138.28310502283108,20.247648835685425,30284,9,73,3,4.109589041095891,2.3234073408566323,991|5347|11065,CDC20|PLK1|UBE2C,-3.3939244141490668,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.918784389061931,GO:0033046,M1,1,0,GO Biological Processes,19,negative regulation of sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-5.918784389061931,50.28476546284765,13.924452377663528,30284,33,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.38836794262718,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.918784389061931,GO:0033048,M1,1,0,GO Biological Processes,19,negative regulation of mitotic sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-5.918784389061931,50.28476546284765,13.924452377663528,30284,33,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.38836794262718,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.918784389061931,GO:0045841,M1,1,0,GO Biological Processes,19,negative regulation of mitotic metaphase/anaphase transition,19_GO:0048519 negative regulation of biological process,-5.918784389061931,50.28476546284765,13.924452377663528,30284,33,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.38836794262718,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.918784389061931,GO:2000816,M1,1,0,GO Biological Processes,19,negative regulation of mitotic sister chromatid separation,19_GO:0048519 negative regulation of biological process,-5.918784389061931,50.28476546284765,13.924452377663528,30284,33,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.38836794262718,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.81330294647875,GO:1902100,M1,1,0,GO Biological Processes,19,negative regulation of metaphase/anaphase transition of cell cycle,19_GO:0048519 negative regulation of biological process,-5.81330294647875,47.41135029354207,13.504578792371651,30284,35,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.3088222341383986,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.81330294647875,GO:1905819,M1,1,0,GO Biological Processes,19,negative regulation of chromosome separation,19_GO:0048519 negative regulation of biological process,-5.81330294647875,47.41135029354207,13.504578792371651,30284,35,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.3088222341383986,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.762941649991343,GO:0051985,M1,1,0,GO Biological Processes,19,negative regulation of chromosome segregation,19_GO:0048519 negative regulation of biological process,-5.762941649991343,46.09436834094368,13.307716919577341,30284,36,73,4,5.47945205479452,2.6636076335416026,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.2760837058212307,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.76244041673309,R-HSA-69620,M1,1,0,Reactome Gene Sets,6,Cell Cycle Checkpoints,,-5.76244041673309,12.252933356453383,8.549046695748833,30284,237,73,7,9.58904109589041,3.446170001233583,890|991|1063|5347|8340|11004|11065,CCNA2|CDC20|CENPF|PLK1|H2BC13|KIF2C|UBE2C,-3.2760837058212307,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.7620810124675685,R-HSA-2467813,M1,1,0,Reactome Gene Sets,6,Separation of Sister Chromatids,,-5.7620810124675685,16.59397260273973,9.4113588321179,30284,150,73,6,8.219178082191782,3.2146132937554075,991|1063|5347|9232|11004|11065,CDC20|CENPF|PLK1|PTTG1|KIF2C|UBE2C,-3.2760837058212307,0,3,0,0,-14.123883100704735,155.56849315068496,
1,-5.6352859466066345,GO:1901987,M1,1,0,GO Biological Processes,19,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-5.6352859466066345,7.778424657534246,7.358519454926892,30284,480,73,9,12.32876712328767,3.8479281269960732,332|991|1063|5347|6241|9787|9928|11065|54443,BIRC5|CDC20|CENPF|PLK1|RRM2|DLGAP5|KIF14|UBE2C|ANLN,-3.155279003649484,0,3,0,0,-14.123883100704735,155.56849315068496,
