Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007052,mitotic spindle organization,19_GO:0009987 cellular process,-10,34,16,30284,99,73,8,11,3.7,332|991|4751|5347|9787|10460|22974|29128,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1,-6.9,MyList
GO Biological Processes,19,GO:0007051,spindle organization,19_GO:0009987 cellular process,-9.5,22,14,30284,169,73,9,12,3.8,332|991|4751|5347|9787|10460|22974|29128|259266,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1|ASPM,-6.5,MyList
GO Biological Processes,19,GO:0045787,positive regulation of cell cycle,19_GO:0048518 positive regulation of biological process,-9.2,13,11,30284,343,73,11,15,4.2,332|991|1894|6241|7042|9585|9787|9928|10051|11065|51203,BIRC5|CDC20|ECT2|RRM2|TGFB2|KIF20B|DLGAP5|KIF14|SMC4|UBE2C|NUSAP1,-6.2,MyList
GO Biological Processes,19,GO:1905818,regulation of chromosome separation,19_GO:0050789 regulation of biological process,-9.1,38,16,30284,77,73,7,9.6,3.4,332|991|1063|5347|9787|10051|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|SMC4|UBE2C,-6.2,MyList
Reactome Gene Sets,6,R-HSA-68886,M Phase,,-9.1,13,11,30284,354,73,11,15,4.2,991|1063|3930|4001|4751|5347|8340|9232|10051|11004|11065,CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|H2BC13|PTTG1|SMC4|KIF2C|UBE2C,-6.1,MyList
GO Biological Processes,19,GO:0090068,positive regulation of cell cycle process,19_GO:0048518 positive regulation of biological process,-8.9,15,12,30284,273,73,10,14,4,332|991|1894|6241|9585|9787|9928|10051|11065|51203,BIRC5|CDC20|ECT2|RRM2|KIF20B|DLGAP5|KIF14|SMC4|UBE2C|NUSAP1,-6,MyList
GO Biological Processes,19,GO:0000281,mitotic cytokinesis,19_GO:0009987 cellular process,-8.7,33,15,30284,89,73,7,9.6,3.4,332|1894|5347|51203|54443|55165|128239,BIRC5|ECT2|PLK1|NUSAP1|ANLN|CEP55|IQGAP3,-5.8,MyList
Reactome Gene Sets,6,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,,-8.4,45,16,30284,55,73,6,8.2,3.2,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-5.5,MyList
WikiPathways,27,WP2361,Gastric cancer network 1,,-8.1,72,19,30284,29,73,5,6.8,3,1063|1894|9585|11065|22974,CENPF|ECT2|KIF20B|UBE2C|TPX2,-5.2,MyList
GO Biological Processes,19,GO:0033045,regulation of sister chromatid segregation,19_GO:0050789 regulation of biological process,-8.1,27,13,30284,108,73,7,9.6,3.4,332|991|1063|5347|9787|10460|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|TACC3|UBE2C,-5.2,MyList
GO Biological Processes,19,GO:0033044,regulation of chromosome organization,19_GO:0050789 regulation of biological process,-8.1,15,11,30284,246,73,9,12,3.8,332|991|1063|4751|5347|9787|10051|10460|11065,BIRC5|CDC20|CENPF|NEK2|PLK1|DLGAP5|SMC4|TACC3|UBE2C,-5.2,MyList
GO Biological Processes,19,GO:0010965,regulation of mitotic sister chromatid separation,19_GO:0050789 regulation of biological process,-8.1,40,15,30284,62,73,6,8.2,3.2,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-5.2,MyList
Reactome Gene Sets,6,R-HSA-453276,Regulation of mitotic cell cycle,,-8,40,15,30284,63,73,6,8.2,3.2,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-5.2,MyList
Reactome Gene Sets,6,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,,-8,40,15,30284,63,73,6,8.2,3.2,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-5.2,MyList
GO Biological Processes,19,GO:1905820,positive regulation of chromosome separation,19_GO:0048518 positive regulation of biological process,-7.9,65,18,30284,32,73,5,6.8,3,332|991|9787|10051|11065,BIRC5|CDC20|DLGAP5|SMC4|UBE2C,-5.1,MyList
GO Biological Processes,19,GO:0061640,cytoskeleton-dependent cytokinesis,19_GO:0009987 cellular process,-7.8,25,13,30284,117,73,7,9.6,3.4,332|1894|5347|51203|54443|55165|128239,BIRC5|ECT2|PLK1|NUSAP1|ANLN|CEP55|IQGAP3,-5.1,MyList
GO Biological Processes,19,GO:0000910,cytokinesis,19_GO:0009987 cellular process,-7.8,24,13,30284,119,73,7,9.6,3.4,332|1894|5347|51203|54443|55165|128239,BIRC5|ECT2|PLK1|NUSAP1|ANLN|CEP55|IQGAP3,-5,MyList
Reactome Gene Sets,6,R-HSA-68882,Mitotic Anaphase,,-7.8,18,11,30284,186,73,8,11,3.7,991|1063|3930|4001|5347|9232|11004|11065,CDC20|CENPF|LBR|LMNB1|PLK1|PTTG1|KIF2C|UBE2C,-5,MyList
Reactome Gene Sets,6,R-HSA-2555396,Mitotic Metaphase and Anaphase,,-7.8,18,11,30284,187,73,8,11,3.7,991|1063|3930|4001|5347|9232|11004|11065,CDC20|CENPF|LBR|LMNB1|PLK1|PTTG1|KIF2C|UBE2C,-5,MyList
GO Biological Processes,19,GO:0051302,regulation of cell division,19_GO:0050789 regulation of biological process,-7.7,17,11,30284,190,73,8,11,3.7,332|1894|5347|7042|9585|9928|146909|259266,BIRC5|ECT2|PLK1|TGFB2|KIF20B|KIF14|KIF18B|ASPM,-5,MyList
Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-7.7,8.2,8.8,30284,605,73,12,16,4.3,857|991|1063|1894|3930|4001|5347|8340|9928|11004|54443|128239,CAV1|CDC20|CENPF|ECT2|LBR|LMNB1|PLK1|H2BC13|KIF14|KIF2C|ANLN|IQGAP3,-4.9,MyList
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-7.5,8,8.7,30284,619,73,12,16,4.3,857|991|1063|1894|3930|4001|5347|8340|9928|11004|54443|128239,CAV1|CDC20|CENPF|ECT2|LBR|LMNB1|PLK1|H2BC13|KIF14|KIF2C|ANLN|IQGAP3,-4.8,MyList
Canonical Pathways,11,M176,PID FOXM1 PATHWAY,,-7.4,52,16,30284,40,73,5,6.8,3,332|890|1063|4751|5347,BIRC5|CCNA2|CENPF|NEK2|PLK1,-4.7,MyList
GO Biological Processes,19,GO:0051640,organelle localization,19_GO:0051179 localization,-7.1,8.3,8.5,30284,551,73,11,15,4.2,332|1063|4001|5347|9787|9928|10460|11004|51203|89958|259266,BIRC5|CENPF|LMNB1|PLK1|DLGAP5|KIF14|TACC3|KIF2C|NUSAP1|SAPCD2|ASPM,-4.4,MyList
GO Biological Processes,19,GO:0030071,regulation of mitotic metaphase/anaphase transition,19_GO:0050789 regulation of biological process,-7,27,12,30284,93,73,6,8.2,3.2,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-4.3,MyList
GO Biological Processes,19,GO:0044770,cell cycle phase transition,19_GO:0009987 cellular process,-6.9,18,11,30284,159,73,7,9.6,3.4,332|890|991|5347|10460|11065|128239,BIRC5|CCNA2|CDC20|PLK1|TACC3|UBE2C|IQGAP3,-4.2,MyList
GO Biological Processes,19,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-6.9,26,12,30284,96,73,6,8.2,3.2,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-4.2,MyList
GO Biological Processes,19,GO:0090307,mitotic spindle assembly,19_GO:0009987 cellular process,-6.8,41,14,30284,51,73,5,6.8,3,332|991|4751|22974|29128,BIRC5|CDC20|NEK2|TPX2|UHRF1,-4.2,MyList
GO Biological Processes,19,GO:0140694,membraneless organelle assembly,19_GO:0009987 cellular process,-6.8,11,8.9,30284,352,73,9,12,3.8,332|991|1063|4751|9787|22974|29128|54443|259266,BIRC5|CDC20|CENPF|NEK2|DLGAP5|TPX2|UHRF1|ANLN|ASPM,-4.1,MyList
GO Biological Processes,19,GO:1901970,positive regulation of mitotic sister chromatid separation,19_GO:0048518 positive regulation of biological process,-6.7,79,18,30284,21,73,4,5.5,2.7,332|991|9787|11065,BIRC5|CDC20|DLGAP5|UBE2C,-4.1,MyList
GO Biological Processes,19,GO:0051225,spindle assembly,19_GO:0009987 cellular process,-6.7,24,12,30284,104,73,6,8.2,3.2,332|991|4751|22974|29128|259266,BIRC5|CDC20|NEK2|TPX2|UHRF1|ASPM,-4.1,MyList
Reactome Gene Sets,6,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,,-6.7,38,14,30284,54,73,5,6.8,3,890|991|4751|9232|11065,CCNA2|CDC20|NEK2|PTTG1|UBE2C,-4.1,MyList
GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-6.6,10,8.6,30284,371,73,9,12,3.8,332|991|1063|5347|6241|9787|9928|11065|54443,BIRC5|CDC20|CENPF|PLK1|RRM2|DLGAP5|KIF14|UBE2C|ANLN,-3.9,MyList
GO Biological Processes,19,GO:0044784,metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-6.1,1.6e+02,21,30284,8,73,3,4.1,2.3,991|5347|10460,CDC20|PLK1|TACC3,-3.5,MyList
GO Biological Processes,19,GO:0007094,mitotic spindle assembly checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.1,55,15,30284,30,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.5,MyList
GO Biological Processes,19,GO:0071174,mitotic spindle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.1,55,15,30284,30,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.5,MyList
GO Biological Processes,19,GO:0071173,spindle assembly checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.1,55,15,30284,30,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.5,MyList
GO Biological Processes,19,GO:0051656,establishment of organelle localization,19_GO:0051179 localization,-6.1,8.8,7.9,30284,425,73,9,12,3.8,332|1063|4001|5347|9928|10460|11004|51203|89958,BIRC5|CENPF|LMNB1|PLK1|KIF14|TACC3|KIF2C|NUSAP1|SAPCD2,-3.5,MyList
GO Biological Processes,19,GO:0031577,spindle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6,54,14,30284,31,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.5,MyList
Canonical Pathways,11,M242,PID AURORA A PATHWAY,,-6,54,14,30284,31,73,4,5.5,2.7,332|9787|10460|22974,BIRC5|DLGAP5|TACC3|TPX2,-3.5,MyList
GO Biological Processes,19,GO:1904668,positive regulation of ubiquitin protein ligase activity,19_GO:0048518 positive regulation of biological process,-6,1.4e+02,20,30284,9,73,3,4.1,2.3,991|5347|11065,CDC20|PLK1|UBE2C,-3.4,MyList
GO Biological Processes,19,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,19_GO:0048519 negative regulation of biological process,-5.9,50,14,30284,33,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.4,MyList
GO Biological Processes,19,GO:0033048,negative regulation of mitotic sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-5.9,50,14,30284,33,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.4,MyList
GO Biological Processes,19,GO:0033046,negative regulation of sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-5.9,50,14,30284,33,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.4,MyList
GO Biological Processes,19,GO:2000816,negative regulation of mitotic sister chromatid separation,19_GO:0048519 negative regulation of biological process,-5.9,50,14,30284,33,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.4,MyList
GO Biological Processes,19,GO:0065004,protein-DNA complex assembly,19_GO:0009987 cellular process,-5.8,13,8.7,30284,230,73,7,9.6,3.4,1063|3009|3148|8340|9787|29028|51053,CENPF|H1-5|HMGB2|H2BC13|DLGAP5|ATAD2|GMNN,-3.3,MyList
GO Biological Processes,19,GO:0044772,mitotic cell cycle phase transition,19_GO:0009987 cellular process,-5.8,17,9.6,30284,146,73,6,8.2,3.2,332|890|5347|10460|11065|128239,BIRC5|CCNA2|PLK1|TACC3|UBE2C|IQGAP3,-3.3,MyList
GO Biological Processes,19,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,19_GO:0048519 negative regulation of biological process,-5.8,47,14,30284,35,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.3,MyList
GO Biological Processes,19,GO:1905819,negative regulation of chromosome separation,19_GO:0048519 negative regulation of biological process,-5.8,47,14,30284,35,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.3,MyList
GO Biological Processes,19,GO:0051985,negative regulation of chromosome segregation,19_GO:0048519 negative regulation of biological process,-5.8,46,13,30284,36,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.3,MyList
Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-5.8,12,8.5,30284,237,73,7,9.6,3.4,890|991|1063|5347|8340|11004|11065,CCNA2|CDC20|CENPF|PLK1|H2BC13|KIF2C|UBE2C,-3.3,MyList
Reactome Gene Sets,6,R-HSA-2467813,Separation of Sister Chromatids,,-5.8,17,9.4,30284,150,73,6,8.2,3.2,991|1063|5347|9232|11004|11065,CDC20|CENPF|PLK1|PTTG1|KIF2C|UBE2C,-3.3,MyList
GO Biological Processes,19,GO:1901987,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-5.6,7.8,7.4,30284,480,73,9,12,3.8,332|991|1063|5347|6241|9787|9928|11065|54443,BIRC5|CDC20|CENPF|PLK1|RRM2|DLGAP5|KIF14|UBE2C|ANLN,-3.2,MyList
GO Biological Processes,19,GO:0071824,protein-DNA complex organization,19_GO:0009987 cellular process,-5.6,12,8.3,30284,250,73,7,9.6,3.4,1063|3009|3148|8340|9787|29028|51053,CENPF|H1-5|HMGB2|H2BC13|DLGAP5|ATAD2|GMNN,-3.1,MyList
WikiPathways,27,WP2446,Retinoblastoma gene in cancer,,-5.6,23,10,30284,89,73,5,6.8,3,890|3148|6241|7298|54443,CCNA2|HMGB2|RRM2|TYMS|ANLN,-3.1,MyList
GO Biological Processes,19,GO:0045839,negative regulation of mitotic nuclear division,19_GO:0048519 negative regulation of biological process,-5.5,40,12,30284,41,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.1,MyList
Reactome Gene Sets,6,R-HSA-69618,Mitotic Spindle Checkpoint,,-5.5,22,10,30284,93,73,5,6.8,3,991|1063|5347|11004|11065,CDC20|CENPF|PLK1|KIF2C|UBE2C,-3,MyList
GO Biological Processes,19,GO:0030261,chromosome condensation,19_GO:0009987 cellular process,-5.5,40,12,30284,42,73,4,5.5,2.7,3009|5347|10051|51203,H1-5|PLK1|SMC4|NUSAP1,-3,MyList
GO Biological Processes,19,GO:0032465,regulation of cytokinesis,19_GO:0050789 regulation of biological process,-5.5,22,10,30284,95,73,5,6.8,3,332|1894|5347|9585|9928,BIRC5|ECT2|PLK1|KIF20B|KIF14,-3,MyList
GO Biological Processes,19,GO:0051347,positive regulation of transferase activity,19_GO:0065007 biological regulation,-5.5,11,8,30284,264,73,7,9.6,3.4,991|1894|5347|7042|9928|11065|22974,CDC20|ECT2|PLK1|TGFB2|KIF14|UBE2C|TPX2,-3,MyList
GO Biological Processes,19,GO:1903490,positive regulation of mitotic cytokinesis,19_GO:0048518 positive regulation of biological process,-5.4,96,17,30284,13,73,3,4.1,2.3,332|1894|9585,BIRC5|ECT2|KIF20B,-3,MyList
Reactome Gene Sets,6,R-HSA-68877,Mitotic Prometaphase,,-5.4,14,8.7,30284,173,73,6,8.2,3.2,991|1063|4751|5347|10051|11004,CDC20|CENPF|NEK2|PLK1|SMC4|KIF2C,-3,MyList
GO Biological Processes,19,GO:0051781,positive regulation of cell division,19_GO:0048518 positive regulation of biological process,-5.4,21,9.8,30284,99,73,5,6.8,3,332|1894|7042|9585|9928,BIRC5|ECT2|TGFB2|KIF20B|KIF14,-2.9,MyList
Canonical Pathways,11,M129,PID PLK1 PATHWAY,,-5.3,36,12,30284,46,73,4,5.5,2.7,991|1894|5347|22974,CDC20|ECT2|PLK1|TPX2,-2.9,MyList
Reactome Gene Sets,6,R-HSA-195258,RHO GTPase Effectors,,-5.3,10,7.8,30284,278,73,7,9.6,3.4,991|1063|5347|8340|9928|11004|128239,CDC20|CENPF|PLK1|H2BC13|KIF14|KIF2C|IQGAP3,-2.9,MyList
GO Biological Processes,19,GO:0045840,positive regulation of mitotic nuclear division,19_GO:0048518 positive regulation of biological process,-5.3,35,12,30284,47,73,4,5.5,2.7,991|9787|11065|51203,CDC20|DLGAP5|UBE2C|NUSAP1,-2.9,MyList
GO Biological Processes,19,GO:0051784,negative regulation of nuclear division,19_GO:0048519 negative regulation of biological process,-5.3,35,12,30284,47,73,4,5.5,2.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-2.9,MyList
GO Biological Processes,19,GO:0050000,chromosome localization,19_GO:0051179 localization,-5.3,20,9.5,30284,104,73,5,6.8,3,332|1063|9787|9928|11004,BIRC5|CENPF|DLGAP5|KIF14|KIF2C,-2.9,MyList
GO Biological Processes,19,GO:1901992,positive regulation of mitotic cell cycle phase transition,19_GO:0048518 positive regulation of biological process,-5.2,20,9.5,30284,105,73,5,6.8,3,332|991|6241|9787|11065,BIRC5|CDC20|RRM2|DLGAP5|UBE2C,-2.9,MyList
GO Biological Processes,19,GO:0032467,positive regulation of cytokinesis,19_GO:0048518 positive regulation of biological process,-5.1,33,11,30284,51,73,4,5.5,2.7,332|1894|9585|9928,BIRC5|ECT2|KIF20B|KIF14,-2.8,MyList
GO Biological Processes,19,GO:1902412,regulation of mitotic cytokinesis,19_GO:0050789 regulation of biological process,-5.1,78,15,30284,16,73,3,4.1,2.3,332|1894|9585,BIRC5|ECT2|KIF20B,-2.7,MyList
Reactome Gene Sets,6,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,,-5.1,32,11,30284,52,73,4,5.5,2.7,991|5347|9232|11065,CDC20|PLK1|PTTG1|UBE2C,-2.7,MyList
Reactome Gene Sets,6,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,,-5.1,32,11,30284,52,73,4,5.5,2.7,890|991|4751|11065,CCNA2|CDC20|NEK2|UBE2C,-2.7,MyList
GO Biological Processes,19,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,19_GO:0048518 positive regulation of biological process,-5,73,15,30284,17,73,3,4.1,2.3,991|9787|11065,CDC20|DLGAP5|UBE2C,-2.7,MyList
