Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-7.8,36,14,30284,96,52,6,12,4.4,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-5.3
MyList,GO Biological Processes,19,GO:0051225,spindle assembly,19_GO:0009987 cellular process,-7.6,34,14,30284,104,52,6,12,4.4,332|991|4751|22974|29128|259266,BIRC5|CDC20|NEK2|TPX2|UHRF1|ASPM,-5.2
MyList,GO Biological Processes,19,GO:0090307,mitotic spindle assembly,19_GO:0009987 cellular process,-7.6,57,17,30284,51,52,5,9.6,4.1,332|991|4751|22974|29128,BIRC5|CDC20|NEK2|TPX2|UHRF1,-5.1
MyList,GO Biological Processes,19,GO:0051640,organelle localization,19_GO:0051179 localization,-7.5,11,9.4,30284,551,52,10,19,5.5,332|1063|4001|5347|9787|9928|10460|11004|51203|259266,BIRC5|CENPF|LMNB1|PLK1|DLGAP5|KIF14|TACC3|KIF2C|NUSAP1|ASPM,-5.1
MyList,GO Biological Processes,19,GO:0051302,regulation of cell division,19_GO:0050789 regulation of biological process,-7.4,21,12,30284,190,52,7,13,4.7,332|1894|5347|9585|9928|146909|259266,BIRC5|ECT2|PLK1|KIF20B|KIF14|KIF18B|ASPM,-5
MyList,Reactome Gene Sets,6,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,,-7.4,54,16,30284,54,52,5,9.6,4.1,890|991|4751|9232|11065,CCNA2|CDC20|NEK2|PTTG1|UBE2C,-5
MyList,GO Biological Processes,19,GO:1901970,positive regulation of mitotic sister chromatid separation,19_GO:0048518 positive regulation of biological process,-7.3,1.1e+02,21,30284,21,52,4,7.7,3.7,332|991|9787|11065,BIRC5|CDC20|DLGAP5|UBE2C,-5
MyList,GO Biological Processes,19,GO:1901987,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-6.9,11,9.1,30284,480,52,9,17,5.2,332|991|1063|5347|6241|9787|9928|11065|54443,BIRC5|CDC20|CENPF|PLK1|RRM2|DLGAP5|KIF14|UBE2C|ANLN,-4.6
MyList,Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-6.8,17,10,30284,237,52,7,13,4.7,890|991|1063|5347|8340|11004|11065,CCNA2|CDC20|CENPF|PLK1|H2BC13|KIF2C|UBE2C,-4.5
MyList,GO Biological Processes,19,GO:0044772,mitotic cell cycle phase transition,19_GO:0009987 cellular process,-6.7,24,12,30284,146,52,6,12,4.4,332|890|5347|10460|11065|128239,BIRC5|CCNA2|PLK1|TACC3|UBE2C|IQGAP3,-4.4
MyList,GO Biological Processes,19,GO:0007094,mitotic spindle assembly checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.7,78,17,30284,30,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.4
MyList,GO Biological Processes,19,GO:0071174,mitotic spindle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.7,78,17,30284,30,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.4
MyList,GO Biological Processes,19,GO:0071173,spindle assembly checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.7,78,17,30284,30,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.4
MyList,Reactome Gene Sets,6,R-HSA-2467813,Separation of Sister Chromatids,,-6.6,23,11,30284,150,52,6,12,4.4,991|1063|5347|9232|11004|11065,CDC20|CENPF|PLK1|PTTG1|KIF2C|UBE2C,-4.4
MyList,Canonical Pathways,11,M242,PID AURORA A PATHWAY,,-6.6,75,17,30284,31,52,4,7.7,3.7,332|9787|10460|22974,BIRC5|DLGAP5|TACC3|TPX2,-4.4
MyList,GO Biological Processes,19,GO:0031577,spindle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-6.6,75,17,30284,31,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.4
MyList,GO Biological Processes,19,GO:0044784,metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-6.6,2.2e+02,26,30284,8,52,3,5.8,3.2,991|5347|10460,CDC20|PLK1|TACC3,-4.3
MyList,GO Biological Processes,19,GO:0033046,negative regulation of sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-6.5,71,17,30284,33,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.3
MyList,GO Biological Processes,19,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,19_GO:0048519 negative regulation of biological process,-6.5,71,17,30284,33,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.3
MyList,GO Biological Processes,19,GO:0033048,negative regulation of mitotic sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-6.5,71,17,30284,33,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.3
MyList,GO Biological Processes,19,GO:2000816,negative regulation of mitotic sister chromatid separation,19_GO:0048519 negative regulation of biological process,-6.5,71,17,30284,33,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.3
MyList,GO Biological Processes,19,GO:1905819,negative regulation of chromosome separation,19_GO:0048519 negative regulation of biological process,-6.4,67,16,30284,35,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.2
MyList,GO Biological Processes,19,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,19_GO:0048519 negative regulation of biological process,-6.4,67,16,30284,35,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.2
MyList,GO Biological Processes,19,GO:1904668,positive regulation of ubiquitin protein ligase activity,19_GO:0048518 positive regulation of biological process,-6.4,1.9e+02,24,30284,9,52,3,5.8,3.2,991|5347|11065,CDC20|PLK1|UBE2C,-4.2
MyList,GO Biological Processes,19,GO:0051985,negative regulation of chromosome segregation,19_GO:0048519 negative regulation of biological process,-6.4,65,16,30284,36,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4.2
MyList,WikiPathways,27,WP2446,Retinoblastoma gene in cancer,,-6.3,33,12,30284,89,52,5,9.6,4.1,890|3148|6241|7298|54443,CCNA2|HMGB2|RRM2|TYMS|ANLN,-4.2
MyList,Reactome Gene Sets,6,R-HSA-195258,RHO GTPase Effectors,,-6.3,15,9.5,30284,278,52,7,13,4.7,991|1063|5347|8340|9928|11004|128239,CDC20|CENPF|PLK1|H2BC13|KIF14|KIF2C|IQGAP3,-4.1
MyList,Reactome Gene Sets,6,R-HSA-68877,Mitotic Prometaphase,,-6.3,20,11,30284,173,52,6,12,4.4,991|1063|4751|5347|10051|11004,CDC20|CENPF|NEK2|PLK1|SMC4|KIF2C,-4.1
MyList,Reactome Gene Sets,6,R-HSA-69618,Mitotic Spindle Checkpoint,,-6.2,31,12,30284,93,52,5,9.6,4.1,991|1063|5347|11004|11065,CDC20|CENPF|PLK1|KIF2C|UBE2C,-4.1
MyList,GO Biological Processes,19,GO:0051656,establishment of organelle localization,19_GO:0051179 localization,-6.2,11,8.6,30284,425,52,8,15,5,332|1063|4001|5347|9928|10460|11004|51203,BIRC5|CENPF|LMNB1|PLK1|KIF14|TACC3|KIF2C|NUSAP1,-4.1
MyList,GO Biological Processes,19,GO:0032465,regulation of cytokinesis,19_GO:0050789 regulation of biological process,-6.2,31,12,30284,95,52,5,9.6,4.1,332|1894|5347|9585|9928,BIRC5|ECT2|PLK1|KIF20B|KIF14,-4
MyList,GO Biological Processes,19,GO:0045839,negative regulation of mitotic nuclear division,19_GO:0048519 negative regulation of biological process,-6.1,57,15,30284,41,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-4
MyList,GO Biological Processes,19,GO:0030261,chromosome condensation,19_GO:0009987 cellular process,-6.1,55,15,30284,42,52,4,7.7,3.7,3009|5347|10051|51203,H1-5|PLK1|SMC4|NUSAP1,-3.9
MyList,GO Biological Processes,19,GO:0050000,chromosome localization,19_GO:0051179 localization,-6,28,11,30284,104,52,5,9.6,4.1,332|1063|9787|9928|11004,BIRC5|CENPF|DLGAP5|KIF14|KIF2C,-3.9
MyList,GO Biological Processes,19,GO:1901992,positive regulation of mitotic cell cycle phase transition,19_GO:0048518 positive regulation of biological process,-6,28,11,30284,105,52,5,9.6,4.1,332|991|6241|9787|11065,BIRC5|CDC20|RRM2|DLGAP5|UBE2C,-3.9
MyList,Canonical Pathways,11,M129,PID PLK1 PATHWAY,,-5.9,51,14,30284,46,52,4,7.7,3.7,991|1894|5347|22974,CDC20|ECT2|PLK1|TPX2,-3.8
MyList,GO Biological Processes,19,GO:0051784,negative regulation of nuclear division,19_GO:0048519 negative regulation of biological process,-5.9,50,14,30284,47,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.8
MyList,GO Biological Processes,19,GO:0045840,positive regulation of mitotic nuclear division,19_GO:0048518 positive regulation of biological process,-5.9,50,14,30284,47,52,4,7.7,3.7,991|9787|11065|51203,CDC20|DLGAP5|UBE2C|NUSAP1,-3.8
MyList,GO Biological Processes,19,GO:1903490,positive regulation of mitotic cytokinesis,19_GO:0048518 positive regulation of biological process,-5.9,1.3e+02,20,30284,13,52,3,5.8,3.2,332|1894|9585,BIRC5|ECT2|KIF20B,-3.8
MyList,GO Biological Processes,19,GO:0032467,positive regulation of cytokinesis,19_GO:0048518 positive regulation of biological process,-5.7,46,13,30284,51,52,4,7.7,3.7,332|1894|9585|9928,BIRC5|ECT2|KIF20B|KIF14,-3.7
MyList,Reactome Gene Sets,6,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,,-5.7,45,13,30284,52,52,4,7.7,3.7,991|5347|9232|11065,CDC20|PLK1|PTTG1|UBE2C,-3.6
MyList,Reactome Gene Sets,6,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,,-5.7,45,13,30284,52,52,4,7.7,3.7,890|991|4751|11065,CCNA2|CDC20|NEK2|UBE2C,-3.6
MyList,Reactome Gene Sets,6,R-HSA-8980692,RHOA GTPase cycle,,-5.6,23,10,30284,124,52,5,9.6,4.1,857|1894|3930|54443|128239,CAV1|ECT2|LBR|ANLN|IQGAP3,-3.6
MyList,GO Biological Processes,19,GO:1901989,positive regulation of cell cycle phase transition,19_GO:0048518 positive regulation of biological process,-5.6,23,10,30284,126,52,5,9.6,4.1,332|991|6241|9787|11065,BIRC5|CDC20|RRM2|DLGAP5|UBE2C,-3.5
MyList,GO Biological Processes,19,GO:1902412,regulation of mitotic cytokinesis,19_GO:0050789 regulation of biological process,-5.6,1.1e+02,18,30284,16,52,3,5.8,3.2,332|1894|9585,BIRC5|ECT2|KIF20B,-3.5
MyList,GO Biological Processes,19,GO:0065004,protein-DNA complex assembly,19_GO:0009987 cellular process,-5.6,15,9,30284,230,52,6,12,4.4,1063|3009|3148|8340|9787|51053,CENPF|H1-5|HMGB2|H2BC13|DLGAP5|GMNN,-3.5
MyList,Reactome Gene Sets,6,R-HSA-176408,Regulation of APC/C activators between G1/S and early anaphase,,-5.5,41,12,30284,57,52,4,7.7,3.7,890|991|5347|11065,CCNA2|CDC20|PLK1|UBE2C,-3.5
MyList,GO Biological Processes,19,GO:0033047,regulation of mitotic sister chromatid segregation,19_GO:0050789 regulation of biological process,-5.5,40,12,30284,58,52,4,7.7,3.7,332|991|1063|5347,BIRC5|CDC20|CENPF|PLK1,-3.5
MyList,GO Biological Processes,19,GO:0007076,mitotic chromosome condensation,19_GO:0009987 cellular process,-5.5,1e+02,17,30284,17,52,3,5.8,3.2,5347|10051|51203,PLK1|SMC4|NUSAP1,-3.5
MyList,GO Biological Processes,19,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,19_GO:0048518 positive regulation of biological process,-5.5,1e+02,17,30284,17,52,3,5.8,3.2,991|9787|11065,CDC20|DLGAP5|UBE2C,-3.5
