,,Control,15c,15c,Control,15an,15a,15an,15a
ENSG00000162571,,0,0,0,0,0,0,0,0
ENSG00000186891,,10,40,0,37,20,22,0,32
ENSG00000186827,,0,0,0,16,26,6,6,0
ENSG00000078808,,745,1978,543,1115,3322,2011,1390,1338
ENSG00000176022,,221,336,117,247,490,515,223,258
ENSG00000184163,,8,69,10,23,38,32,25,19
ENSG00000260179,,0,2,0,11,6,0,8,28
ENSG00000160087,,323,544,126,295,889,393,261,241
ENSG00000230415,,10,20,0,0,12,31,0,0
ENSG00000162572,,22,65,0,18,87,12,56,48
ENSG00000131584,,583,829,238,597,987,685,559,251
ENSG00000169972,,100,247,79,211,352,182,260,139
ENSG00000127054,,340,1087,197,482,1242,605,558,501
ENSG00000240731,,2,6,22,0,26,30,12,4
ENSG00000224051,,172,338,133,249,601,363,236,195
ENSG00000169962,,30,63,0,69,78,12,58,12
ENSG00000107404,,715,2072,359,1044,2018,1336,1215,973
ENSG00000162576,,42,42,12,54,29,58,60,40
ENSG00000175756,,541,1358,275,783,1942,1173,591,812
ENSG00000221978,,535,1454,293,759,1858,908,983,575
ENSG00000224870,,163,112,8,155,327,123,153,106
ENSG00000242485,,119,264,72,197,479,382,275,90
ENSG00000272455,,0,14,6,18,32,74,16,6
ENSG00000205116,,15,8,14,6,4,33,0,0
ENSG00000225285,,12,71,8,8,47,35,3,18
ENSG00000179403,,623,1755,455,808,2764,1399,975,912
ENSG00000215915,,8,17,3,9,14,6,5,15
ENSG00000160072,,180,566,136,302,594,584,228,310
ENSG00000197785,,402,600,153,573,751,429,396,465
ENSG00000205090,,16,0,12,18,6,29,6,0
ENSG00000160075,,538,892,323,554,1642,958,681,482
ENSG00000215014,,0,0,2,0,61,8,0,2
ENSG00000228594,,0,0,0,0,0,0,0,0
ENSG00000272106,,2,0,0,2,22,20,36,21
ENSG00000197530,,337,566,120,325,862,439,465,289
ENSG00000189409,,0,12,0,0,1,0,0,0
ENSG00000248333,,107,246,40,205,330,194,140,101
ENSG00000272004,,0,14,0,0,6,0,2,0
ENSG00000189339,,459,996,249,810,1357,833,904,685
ENSG00000269737,,26,36,4,4,77,53,48,14
ENSG00000269227,,0,0,0,0,2,6,9,2
ENSG00000215914,,0,3,0,0,0,0,0,0
ENSG00000008128,,11,15,26,12,32,25,44,0
ENSG00000268575,,0,35,0,38,55,48,38,46
ENSG00000227775,,31,34,7,49,67,31,19,14
ENSG00000215790,,22,89,43,48,145,66,18,44
ENSG00000008130,,364,1344,384,556,2320,1022,869,655
ENSG00000078369,,1384,3195,878,1767,4833,2694,1866,1973
ENSG00000231050,,4,15,8,6,6,0,16,0
ENSG00000169885,,0,0,0,10,4,0,0,0
ENSG00000178821,,10,0,4,4,0,22,2,30
ENSG00000142609,,0,0,0,0,0,0,0,0
ENSG00000067606,,6,0,22,0,0,2,0,0
ENSG00000182873,,0,0,0,0,0,8,12,0
ENSG00000162585,,468,725,147,267,727,522,429,333
ENSG00000234396,,0,0,0,2,0,0,0,0
ENSG00000157933,,606,1053,185,653,1412,830,580,565
ENSG00000116151,,74,249,28,98,371,147,53,67
ENSG00000272161,,0,0,0,0,0,0,0,28
ENSG00000269896,,0,30,0,10,19,4,12,14
ENSG00000272420,,2,0,0,0,17,20,2,0
ENSG00000157916,,355,927,228,532,1391,860,669,396
ENSG00000157911,,181,320,148,259,753,475,375,178
ENSG00000149527,,0,0,0,0,0,2,0,0
ENSG00000157881,,1,32,3,65,3,6,1,2
ENSG00000197921,,2,0,0,0,0,0,0,0
ENSG00000272449,,0,0,0,0,1,0,0,0
ENSG00000238164,,2,0,0,0,4,0,0,6
ENSG00000157873,,22,13,4,4,30,26,51,21
ENSG00000228037,,0,14,0,0,0,0,0,0
ENSG00000157870,,72,233,85,74,482,283,136,221
ENSG00000142611,,29,70,0,72,7,20,0,10
ENSG00000279839,,0,0,0,0,0,0,0,0
ENSG00000130762,,335,544,117,440,888,597,473,224
ENSG00000272088,,0,0,2,0,0,8,16,3
ENSG00000162591,,1301,15984,3564,1521,22563,7023,10908,4788
ENSG00000238260,,26,2,0,0,0,10,6,0
ENSG00000158109,,273,1002,154,500,1188,636,730,421
ENSG00000116213,,96,240,72,55,324,166,285,74
ENSG00000078900,,4,2,0,0,0,0,0,0
ENSG00000227372,,26,107,8,42,77,39,35,87
ENSG00000162592,,0,0,0,0,22,6,0,0
ENSG00000235169,,94,234,38,57,360,132,128,185
ENSG00000130764,,308,612,264,601,1330,872,650,497
ENSG00000266075,,0,0,0,0,14,0,0,0
ENSG00000272153,,8,0,0,0,26,0,2,6
ENSG00000116198,,219,568,133,357,997,482,350,291
ENSG00000169598,,62,80,6,66,64,72,13,72
ENSG00000198912,,212,402,42,223,320,274,166,221
ENSG00000236423,,54,78,6,61,62,6,42,21
ENSG00000131697,,201,419,128,218,514,405,205,151
ENSG00000069424,,537,1059,302,535,1725,1092,437,545
ENSG00000116254,,23,20,4,47,68,44,7,10
ENSG00000116251,,397,644,237,592,1447,795,516,412
ENSG00000226944,,7,13,4,0,14,0,0,0
ENSG00000158286,,286,789,70,471,838,413,703,547
ENSG00000116237,,316,584,247,472,1179,647,259,438
ENSG00000225077,,2,0,26,0,0,4,0,14
ENSG00000173673,,0,14,0,0,0,0,0,0
ENSG00000158292,,657,2361,793,1020,4382,1513,1724,1190
ENSG00000097021,,225,522,60,215,635,306,422,191
ENSG00000069812,,56,283,69,69,380,148,168,118
ENSG00000187017,,0,16,32,0,46,6,4,6
ENSG00000215788,,56,91,0,14,26,28,90,32
ENSG00000171680,,55,300,38,124,292,191,246,158
ENSG00000162408,,174,304,118,348,550,395,258,145
ENSG00000253022,,1,4,0,0,0,0,0,0
ENSG00000229519,,0,7,0,1,16,0,7,0
ENSG00000173662,,0,8,0,6,10,0,0,0
ENSG00000204859,,162,329,98,221,512,368,307,148
ENSG00000162413,,979,3870,639,1510,5213,2573,2571,1406
ENSG00000116273,,171,384,114,313,788,234,383,230
ENSG00000041988,,117,264,50,92,298,161,81,50
ENSG00000007923,,122,436,82,173,377,367,207,117
ENSG00000237436,,0,0,0,0,4,0,0,0
ENSG00000171735,,224,278,132,235,598,299,245,277
ENSG00000227950,,0,0,0,0,0,0,0,0
ENSG00000237728,,0,0,0,0,0,0,0,0
ENSG00000049245,,171,427,109,311,805,449,364,227
ENSG00000269925,,0,33,0,0,14,0,0,0
ENSG00000049246,,40,34,4,40,112,36,31,8
ENSG00000049247,,10,4,0,0,4,10,0,0
ENSG00000049249,,0,0,0,2,0,6,30,0
ENSG00000116288,,431,803,193,682,1914,928,522,567
ENSG00000116285,,3423,6173,2433,4101,13095,6757,4558,3639
ENSG00000238290,,48,58,10,36,99,29,6,45
ENSG00000229305,,0,0,6,0,0,0,0,0
ENSG00000162426,,20,18,4,14,27,35,20,8
ENSG00000142599,,576,915,252,644,1499,802,760,859
ENSG00000232912,,0,26,0,0,10,0,0,28
ENSG00000221083,,0,0,0,0,2,7,2,2
ENSG00000270282,,0,12,0,0,0,0,4,4
ENSG00000234619,,28,0,0,0,10,0,4,0
ENSG00000224315,,0,0,0,0,0,0,22,0
ENSG00000222511,,0,0,0,0,0,1,0,0
ENSG00000226545,,2,29,0,6,0,0,2,1
ENSG00000228423,,0,21,6,6,0,28,0,0
ENSG00000074800,,4653,8295,2352,7293,16506,10193,4773,5494
ENSG00000236269,,18,62,10,30,23,30,38,47
ENSG00000230679,,0,0,0,0,0,0,0,0
ENSG00000265141,,3,13,5,3,19,18,8,4
ENSG00000142583,,0,0,0,0,0,0,0,0
ENSG00000252404,,0,0,0,0,0,0,0,0
ENSG00000180758,,200,463,159,285,998,543,424,359
ENSG00000207865,,12,2,6,4,0,0,0,0
ENSG00000228526,,0,15,0,17,8,6,0,1
ENSG00000234546,,0,0,0,0,18,0,22,2
ENSG00000049239,,718,1873,486,1063,3153,1657,1004,1288
ENSG00000171621,,112,385,36,172,628,324,269,181
ENSG00000171612,,130,201,57,87,339,184,114,86
ENSG00000231181,,0,8,0,2,10,0,15,0
ENSG00000188807,,168,396,73,275,646,331,201,299
ENSG00000171608,,4,26,2,19,80,38,40,16
ENSG00000233268,,4,5,12,6,2,31,0,12
ENSG00000231789,,0,0,0,0,0,0,0,0
ENSG00000171603,,993,2262,451,1330,3535,1838,1491,1302
ENSG00000280113,,20,0,0,0,0,0,0,0
ENSG00000178585,,122,119,9,69,256,96,101,101
ENSG00000162441,,42,42,15,162,200,102,87,101
ENSG00000228150,,0,0,0,0,0,24,0,3
ENSG00000173614,,46,156,5,61,135,110,46,23
ENSG00000202415,,0,0,0,0,14,0,1,4
ENSG00000130939,,194,506,182,276,904,327,238,345
ENSG00000224340,,0,0,0,0,0,0,0,4
ENSG00000233623,,8,4,18,4,0,0,0,3
ENSG00000201746,,0,0,0,0,0,18,0,10
ENSG00000054523,,388,1056,318,614,1457,679,728,362
ENSG00000264881,,10,0,0,0,0,0,0,0
ENSG00000199562,,6,17,3,23,14,21,10,11
ENSG00000142657,,2797,7041,1854,3977,11406,6603,4976,4756
ENSG00000175279,,0,0,12,29,0,22,1,36
ENSG00000241563,,1,2,0,4,0,0,0,0
ENSG00000160049,,279,548,120,621,1188,698,483,324
ENSG00000142655,,92,387,18,237,518,136,219,159
ENSG00000243267,,0,0,0,0,0,9,0,0
ENSG00000130940,,67,62,0,87,107,95,48,77
ENSG00000272078,,21,0,0,11,8,15,0,2
ENSG00000175262,,0,0,0,0,0,0,0,0
ENSG00000120948,,214,423,137,255,438,379,148,325
ENSG00000009724,,0,0,2,46,4,14,0,0
ENSG00000271895,,0,0,0,0,0,0,0,0
ENSG00000116649,,223,541,113,316,676,591,327,202
ENSG00000171824,,133,187,14,70,320,208,185,238
ENSG00000226849,,0,0,0,0,0,3,0,0
ENSG00000230337,,12,0,0,0,0,0,0,0
ENSG00000198793,,360,771,255,498,1221,686,401,496
ENSG00000225602,,0,0,0,0,0,0,0,0
ENSG00000253086,,0,0,0,0,0,0,0,16
ENSG00000171819,,16,67,3,0,4,14,0,32
ENSG00000238173,,6,2,0,0,0,0,0,0
ENSG00000120942,,48,138,29,106,272,203,102,83
ENSG00000116661,,0,18,2,4,2,9,8,0
ENSG00000132879,,16,195,24,25,359,230,94,228
ENSG00000116663,,76,403,94,176,375,257,327,179
ENSG00000116670,,93,383,116,390,571,350,134,189
ENSG00000162490,,0,1,0,0,0,0,0,0
ENSG00000177674,,215,459,34,183,857,352,366,245
ENSG00000215910,,0,0,0,0,0,0,0,0
ENSG00000177553,,0,5,0,0,0,0,0,0
ENSG00000177000,,161,1044,176,360,944,574,608,456
ENSG00000011021,,106,216,36,51,264,98,184,101
ENSG00000242349,,0,0,0,0,0,0,0,0
ENSG00000175206,,0,0,0,6,0,0,0,0
ENSG00000199347,,5887,12209,6204,8297,17337,10307,10937,7109
ENSG00000201801,,166,288,129,265,523,314,270,183
ENSG00000116685,,593,1000,427,511,1938,957,912,669
ENSG00000083444,,943,2717,618,1352,3564,2018,1788,1469
ENSG00000116688,,459,1329,362,736,2169,1249,892,820
ENSG00000116691,,144,316,114,319,558,365,360,200
ENSG00000202461,,0,0,0,0,0,0,0,0
ENSG00000243539,,0,0,0,0,1,1,0,0
ENSG00000120949,,2,0,0,0,0,0,0,0
ENSG00000028137,,165,500,205,172,447,171,238,237
ENSG00000225196,,0,8,0,0,0,0,0,0
ENSG00000048707,,473,930,244,523,1787,726,687,458
ENSG00000239149,,0,25,4,26,30,19,24,2
ENSG00000229484,,28,22,0,9,10,0,10,16
ENSG00000162496,,967,2139,498,1244,3740,1919,2783,1270
ENSG00000221340,,0,0,0,4,0,0,4,0
ENSG00000276830,,0,6,0,0,0,0,6,1
ENSG00000272482,,20,72,16,26,129,42,83,57
ENSG00000116721,,0,0,0,0,0,0,0,0
ENSG00000179172,,0,0,0,0,0,0,0,0
ENSG00000162493,,0,0,0,0,0,0,0,0
ENSG00000116731,,139,251,55,136,293,183,122,91
ENSG00000189337,,28,38,0,20,60,55,78,36
ENSG00000175147,,0,0,0,10,0,0,0,0
ENSG00000171729,,112,188,84,73,245,162,98,94
ENSG00000204464,,0,0,0,0,2,24,0,0
ENSG00000215720,,0,0,0,0,0,0,0,0
ENSG00000142621,,22,43,0,52,21,52,10,10
ENSG00000233485,,0,0,0,0,0,10,16,2
ENSG00000236045,,0,2,0,0,9,0,0,0
ENSG00000228140,,0,2,0,0,4,10,20,2
ENSG00000142634,,1642,3297,746,2003,3361,2824,1819,2070
ENSG00000162438,,0,0,0,0,0,0,22,0
ENSG00000142615,,0,0,0,0,0,2,0,0
ENSG00000215704,,16,0,0,2,0,0,0,11
ENSG00000132906,,104,175,36,68,244,121,100,157
ENSG00000116138,,120,276,94,94,533,242,172,141
ENSG00000251866,,2,26,4,15,42,14,16,30
ENSG00000116771,,44,82,4,18,120,69,74,24
ENSG00000237301,,0,6,12,4,0,10,0,6
ENSG00000235084,,3,2,0,2,8,14,3,0
ENSG00000197312,,152,332,37,221,422,291,395,168
ENSG00000116786,,360,800,238,404,1255,818,716,506
ENSG00000237938,,6,8,4,18,4,6,0,5
ENSG00000162461,,0,0,14,0,0,25,28,0
ENSG00000224459,,0,0,0,0,2,0,0,0
ENSG00000162460,,0,0,0,0,0,0,0,0
ENSG00000162458,,701,1469,505,728,2136,1272,1082,762
ENSG00000224321,,30,6,0,0,9,4,0,10
ENSG00000233954,,15,14,15,17,41,1,12,10
ENSG00000178715,,0,0,10,0,11,6,0,5
ENSG00000179743,,34,67,0,42,115,12,4,59
ENSG00000065526,,630,1739,389,900,2327,1398,1120,843
ENSG00000270620,,7,8,0,0,0,0,0,14
ENSG00000116809,,124,403,153,211,351,156,283,229
ENSG00000234607,,0,0,2,0,0,0,0,0
ENSG00000173641,,10,20,20,4,84,35,12,0
ENSG00000186510,,0,0,0,6,0,0,4,0
ENSG00000232456,,0,0,14,6,3,0,0,0
ENSG00000184908,,0,0,0,0,0,0,0,0
ENSG00000185519,,10,21,0,14,11,16,16,54
ENSG00000142627,,1104,1783,351,1394,2547,1697,1209,1254
ENSG00000227959,,10,40,2,36,50,61,54,16
ENSG00000224621,,0,0,2,0,4,0,0,8
ENSG00000142632,,67,103,30,42,178,126,116,99
ENSG00000237276,,0,10,0,2,0,12,2,10
ENSG00000132881,,28,46,14,52,59,18,16,35
ENSG00000037637,,86,215,76,193,368,188,127,103
ENSG00000055070,,697,985,333,566,1686,813,700,659
ENSG00000226457,,0,0,0,0,0,0,2,0
ENSG00000187144,,0,0,6,3,21,4,0,9
ENSG00000157191,,216,590,136,332,1089,369,482,333
ENSG00000226029,,27,52,6,10,48,14,45,4
ENSG00000080947,,88,94,5,58,132,106,102,140
ENSG00000206652,,6190,22482,8517,15013,29555,17979,20363,14297
ENSG00000261135,,0,0,0,0,0,0,0,1
ENSG00000224174,,0,0,0,0,1,0,4,0
ENSG00000233421,,15,19,5,6,13,12,1,12
ENSG00000219481,,91,222,62,126,491,204,280,151
ENSG00000271732,,0,0,0,0,6,0,0,0
ENSG00000215908,,223,481,48,265,576,361,274,273
ENSG00000186301,,43,15,16,18,66,91,4,54
ENSG00000207513,,6064,21772,8142,14704,33564,17200,19698,13728
ENSG00000236698,,70,40,0,32,78,41,42,25
ENSG00000058453,,259,389,105,362,558,470,286,311
ENSG00000207389,,19021,106228,47174,53041,84481,83985,109066,62173
ENSG00000227684,,0,0,0,0,0,0,0,0
ENSG00000186715,,0,16,2,0,13,21,0,25
ENSG00000228549,,10,27,10,4,33,48,4,21
ENSG00000238142,,0,7,0,0,17,5,0,15
ENSG00000235241,,0,0,0,0,4,4,0,0
ENSG00000207005,,41007,99799,45247,52603,140156,113746,107247,60636
ENSG00000117122,,0,0,0,0,1,0,0,0
ENSG00000226526,,0,0,0,0,8,0,0,0
ENSG00000159363,,342,749,169,322,1151,793,485,411
ENSG00000117118,,284,518,195,336,1081,487,432,410
ENSG00000117115,,0,0,0,0,12,0,0,0
ENSG00000204362,,0,0,0,0,2,0,0,0
ENSG00000142623,,5,0,0,0,0,0,0,4
ENSG00000142619,,0,0,0,0,0,0,0,0
ENSG00000179051,,447,748,203,742,1443,893,712,584
ENSG00000074964,,377,1164,274,579,1959,1053,790,596
ENSG00000117148,,0,0,0,0,12,0,0,0
ENSG00000179023,,0,0,0,0,0,0,0,0
ENSG00000255275,,0,0,0,0,0,0,0,0
ENSG00000159423,,106,107,6,41,208,109,44,108
ENSG00000169991,,107,394,39,236,437,320,201,147
ENSG00000272084,,10,26,0,12,26,0,0,0
ENSG00000127481,,1882,4850,1191,2655,7080,4601,3411,2858
ENSG00000230424,,0,3,0,13,0,0,4,0
ENSG00000127463,,494,889,250,406,1295,789,714,671
ENSG00000053372,,249,650,160,434,1131,873,312,317
ENSG00000211454,,41,49,26,70,44,52,10,3
ENSG00000162482,,49,67,47,14,45,52,13,38
ENSG00000270728,,6,0,0,0,4,14,16,0
ENSG00000053371,,33,377,110,146,528,257,252,177
ENSG00000200403,,0,0,0,0,2,0,0,0
ENSG00000040487,,117,346,115,205,641,314,178,249
ENSG00000077549,,248,766,229,355,1164,739,303,297
ENSG00000240490,,4,0,0,1,5,1,1,2
ENSG00000173436,,10,25,0,12,28,8,37,0
ENSG00000226396,,2,24,8,18,6,1,0,0
ENSG00000158747,,95,510,86,267,538,316,243,229
ENSG00000158748,,0,0,0,0,0,8,0,0
ENSG00000162542,,104,373,86,91,559,276,338,169
ENSG00000169914,,106,244,46,165,196,222,171,115
ENSG00000117215,,0,0,0,0,0,0,0,0
ENSG00000158786,,0,2,0,0,0,0,0,0
ENSG00000227066,,0,0,0,0,0,0,2,0
ENSG00000187980,,0,4,0,0,0,0,0,0
ENSG00000162543,,0,0,0,0,12,0,0,0
ENSG00000158816,,0,8,0,2,4,72,0,0
ENSG00000162545,,251,719,230,434,898,582,375,262
ENSG00000090432,,117,291,26,145,528,222,211,112
ENSG00000183114,,0,0,0,0,0,0,0,0
ENSG00000158825,,2,129,6,15,161,32,94,58
ENSG00000158828,,128,655,89,136,892,425,399,346
ENSG00000117242,,24,4,2,2,0,38,0,0
ENSG00000244038,,635,1408,305,1090,2213,1267,880,582
ENSG00000117245,,0,8,0,10,30,0,2,8
ENSG00000189410,,105,182,52,220,234,78,128,122
ENSG00000127483,,900,1625,345,1077,2128,1382,976,971
ENSG00000075151,,387,995,255,500,1564,727,579,508
ENSG00000233072,,10,0,0,0,2,0,0,0
ENSG00000236073,,0,0,0,0,0,0,0,0
ENSG00000235112,,19,0,0,0,0,0,8,0
ENSG00000117298,,880,2694,679,1737,3737,2261,2198,1764
ENSG00000236936,,2,0,0,8,18,0,0,0
ENSG00000231105,,8,24,4,0,6,0,0,10
ENSG00000236216,,0,0,0,0,0,0,2,0
ENSG00000227001,,0,0,0,9,2,0,0,0
ENSG00000187952,,12,8,0,1,34,38,0,0
ENSG00000186543,,0,0,0,0,0,0,0,0
ENSG00000142794,,1,63,6,21,72,28,6,43
ENSG00000162551,,0,0,0,0,50,0,28,0
ENSG00000076864,,572,2204,489,627,3231,1811,1394,1157
ENSG00000090686,,218,462,145,236,844,540,517,256
ENSG00000231978,,0,10,0,2,0,2,0,0
ENSG00000187942,,0,0,0,0,20,0,0,0
ENSG00000142798,,2798,7611,1730,5168,8805,4927,4276,4332
ENSG00000232037,,0,0,0,0,2,0,0,0
ENSG00000219073,,0,0,0,0,0,2,0,0
ENSG00000228397,,0,0,0,0,0,0,0,0
ENSG00000218510,,20,15,13,32,185,85,54,62
ENSG00000070831,,731,1154,275,1046,2355,1316,773,947
ENSG00000230068,,0,12,12,8,6,8,4,13
ENSG00000271428,,0,0,0,0,14,0,6,0
ENSG00000271840,,6,12,0,0,6,0,0,0
ENSG00000162552,,26,35,0,14,22,64,10,54
ENSG00000234397,,0,0,0,0,0,0,0,0
ENSG00000184677,,156,389,66,288,551,362,166,124
ENSG00000237200,,0,0,0,0,0,0,4,0
ENSG00000133216,,88,225,87,114,294,79,95,73
ENSG00000225952,,0,0,0,0,0,0,0,0
ENSG00000272796,,0,0,0,8,0,52,24,0
ENSG00000004487,,603,1286,389,803,1928,1420,907,824
ENSG00000240553,,0,0,0,0,0,0,0,24
ENSG00000263793,,0,0,0,0,0,0,4,0
ENSG00000266802,,0,14,0,0,0,0,0,0
ENSG00000169641,,399,619,136,353,1339,539,422,325
ENSG00000229010,,18,4,0,0,65,22,10,20
ENSG00000206935,,16,0,0,0,4,0,0,0
ENSG00000252578,,0,0,0,0,0,0,0,0
ENSG00000179546,,3,77,8,52,85,111,23,61
ENSG00000261326,,16,82,11,38,62,30,73,95
ENSG00000125944,,1059,1131,370,986,1803,1286,605,527
ENSG00000125945,,56,133,38,82,234,78,130,62
ENSG00000249087,,48,73,38,34,57,26,4,18
ENSG00000271420,,0,0,0,0,2,2,6,0
ENSG00000204219,,121,134,50,48,74,93,95,65
ENSG00000232482,,0,0,0,0,0,0,0,0
ENSG00000088280,,268,602,90,133,608,396,411,230
ENSG00000007968,,94,132,8,104,142,148,52,40
ENSG00000235052,,2,6,0,11,16,0,0,0
ENSG00000117318,,3270,3612,2068,5110,10702,7154,1951,3261
ENSG00000197880,,0,0,0,26,0,0,0,0
ENSG00000142676,,958,1821,647,1161,3036,1939,1372,1095
ENSG00000203589,,1,29,6,32,4,27,38,4
ENSG00000011007,,250,538,134,377,841,555,288,336
ENSG00000236810,,3,16,0,0,2,26,0,16
ENSG00000057757,,39,258,49,141,386,386,186,126
ENSG00000011009,,209,739,186,438,983,547,489,394
ENSG00000117308,,416,1064,256,767,1724,998,969,808
ENSG00000117305,,169,458,130,139,1113,444,333,273
ENSG00000179163,,133,533,53,319,666,336,310,161
ENSG00000232557,,0,0,0,1,0,0,0,0
ENSG00000189266,,144,374,41,285,578,302,114,314
ENSG00000188529,,390,885,184,646,1235,793,636,478
ENSG00000225315,,9,0,0,0,0,0,0,11
ENSG00000142661,,126,219,135,130,297,262,81,148
ENSG00000142677,,8,74,62,28,231,96,145,62
ENSG00000185436,,43,114,39,67,165,74,82,100
ENSG00000158055,,0,0,0,0,0,0,0,0
ENSG00000001460,,40,158,30,66,237,145,119,139
ENSG00000001461,,157,377,129,241,669,477,311,269
ENSG00000117602,,156,263,53,204,502,372,207,163
ENSG00000184454,,0,0,0,0,0,0,34,0
ENSG00000133226,,351,622,125,422,679,535,410,396
ENSG00000169504,,756,1547,317,1040,2229,1251,1054,970
ENSG00000020633,,0,10,6,0,16,0,10,0
ENSG00000229162,,0,0,0,0,0,0,0,0
ENSG00000117614,,94,395,132,142,580,233,262,183
ENSG00000117616,,163,712,157,287,842,482,504,183
ENSG00000272432,,0,0,0,12,0,0,0,4
ENSG00000261349,,0,10,2,5,46,19,3,4
ENSG00000187010,,4,38,4,1,35,24,14,15
ENSG00000224183,,0,6,0,0,5,0,0,0
ENSG00000183726,,199,565,192,462,1238,685,321,366
ENSG00000188672,,9,33,21,1,9,24,18,0
ENSG00000238084,,0,0,0,0,2,2,1,0
ENSG00000204178,,25,33,34,21,190,121,93,78
ENSG00000157978,,57,336,156,252,323,256,237,181
ENSG00000225643,,0,0,0,0,0,0,0,0
ENSG00000117643,,0,14,0,0,4,0,0,24
ENSG00000233478,,0,0,0,0,0,0,0,0
ENSG00000162430,,547,1189,322,594,1704,1097,727,713
ENSG00000228172,,1,6,0,0,36,0,0,0
ENSG00000117640,,75,86,46,44,125,123,68,80
ENSG00000127423,,31,8,2,77,49,30,34,32
ENSG00000182749,,40,55,2,33,118,63,95,11
ENSG00000117632,,186,307,128,296,291,457,46,199
ENSG00000158006,,64,108,64,86,190,26,37,76
ENSG00000158008,,14,8,0,0,6,0,2,0
ENSG00000175087,,90,75,62,50,157,117,56,58
ENSG00000197245,,0,0,0,0,0,22,0,0
ENSG00000142684,,14,0,0,0,0,0,0,0
ENSG00000236782,,0,0,0,0,4,12,0,0
ENSG00000142675,,0,6,0,0,0,0,6,0
ENSG00000278572,,0,0,0,0,1,0,0,0
ENSG00000130695,,277,190,21,184,328,300,116,230
ENSG00000270733,,0,8,0,10,4,0,0,0
ENSG00000142669,,233,1329,344,631,1835,1315,857,733
ENSG00000158062,,113,293,68,166,405,195,200,214
ENSG00000169442,,0,0,0,0,0,0,0,0
ENSG00000176092,,0,8,14,0,72,18,2,12
ENSG00000117682,,112,258,34,90,495,202,289,253
ENSG00000223583,,8,0,0,0,0,0,0,0
ENSG00000225891,,14,0,7,0,10,0,0,0
ENSG00000198830,,357,634,215,698,1203,1051,408,475
ENSG00000117676,,147,547,280,321,1053,378,766,394
