Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M40158,DESCARTES FETAL CEREBELLUM VASCULAR ENDOTHELIAL CELLS,,-5.4,6.3,6.8,30284,632,76,10,13,3.9,218|290|2635|4862|6520|8140|10723|120224|254427|259173,ALDH3A1|ANPEP|GBP3|NPAS2|SLC3A2|SLC7A5|SLC12A7|TMEM45B|PROSER2|ALS2CL,-2.1,MyList
COVID,200,COVID191,RNA_Stukalov_A549-ACE2_24h_Up,,-5.3,20,9.6,30284,98,76,5,6.6,2.8,2069|7477|8605|9518|25976,EREG|WNT7B|PLA2G4C|GDF15|TIPARP,-2.1,MyList
DisGeNET,35,C0149521,"Pancreatitis, Chronic",,-5.3,8.4,7.3,30284,379,76,8,11,3.5,1543|1591|2069|4586|5743|7032|9518|54658,CYP1A1|CYP24A1|EREG|MUC5AC|PTGS2|TFF2|GDF15|UGT1A1,-2.1,MyList
DisGeNET,35,C0032584,polyps,,-5.2,8.2,7.2,30284,390,76,8,11,3.5,1591|2069|4586|5743|6581|7032|7412|8878,CYP24A1|EREG|MUC5AC|PTGS2|SLC22A3|TFF2|VCAM1|SQSTM1,-2,MyList
DisGeNET,35,C0242216,Biliary calculi,,-5.2,33,11,30284,48,76,4,5.3,2.6,290|4586|11015|54658,ANPEP|MUC5AC|KDELR3|UGT1A1,-2,MyList
TRRUST,34,TRR01256,Regulated by: SP1,,-5.2,6.8,6.8,30284,525,76,9,12,3.7,1545|3484|4586|5743|6520|6654|8140|8878|9615,CYP1B1|IGFBP1|MUC5AC|PTGS2|SLC3A2|SOS1|SLC7A5|SQSTM1|GDA,-2,MyList
DisGeNET,35,C0878500,Intraepithelial Neoplasia,,-5.1,13,8.1,30284,186,76,6,7.9,3.1,360|2069|4586|5743|7053|8140,AQP3|EREG|MUC5AC|PTGS2|TGM3|SLC7A5,-2,MyList
DisGeNET,35,C0376618,Endotoxemia,,-5.1,7.9,7,30284,401,76,8,11,3.5,2069|3484|5743|7412|7433|8856|8878|11093,EREG|IGFBP1|PTGS2|VCAM1|VIPR1|NR1I2|SQSTM1|ADAMTS13,-2,MyList
DisGeNET,35,C0338106,Adenocarcinoma of colon,,-5.1,7.9,7,30284,406,76,8,11,3.5,290|1543|4586|5465|5743|8856|54658|102724428,ANPEP|CYP1A1|MUC5AC|PPARA|PTGS2|NR1I2|UGT1A1|LOC102724428,-2,MyList
DisGeNET,35,C0334233,Pleomorphic carcinoma,,-5.1,75,15,30284,16,76,3,3.9,2.2,1543|6520|8140,CYP1A1|SLC3A2|SLC7A5,-2,MyList
COVID,200,COVID173,Proteome_Stukalov_A549_72h_ORF3_Up,,-5.1,9.6,7.4,30284,291,76,7,9.2,3.3,3484|5743|6520|8878|23764|25987|102724428,IGFBP1|PTGS2|SLC3A2|SQSTM1|MAFF|TSKU|LOC102724428,-2,MyList
COVID,200,COVID193,RNA_Stukalov_A549-ACE2_30h_Up,,-5,9.3,7.2,30284,300,76,7,9.2,3.3,1545|2069|5743|7477|8605|9518|25976,CYP1B1|EREG|PTGS2|WNT7B|PLA2G4C|GDF15|TIPARP,-1.9,MyList
COVID,200,COVID010,RNA_Blanco-Melo_A549-ACE2_Up,,-5,9.3,7.2,30284,300,76,7,9.2,3.3,2069|3484|5743|9518|10723|23764|25976,EREG|IGFBP1|PTGS2|GDF15|SLC12A7|MAFF|TIPARP,-1.9,MyList
DisGeNET,35,C1963943,Atherothrombosis,,-5,17,8.8,30284,115,76,5,6.6,2.8,5743|6520|7412|8856|9518,PTGS2|SLC3A2|VCAM1|NR1I2|GDF15,-1.9,MyList
DisGeNET,35,C0202236,Triglycerides measurement,,-4.9,6.4,6.5,30284,563,76,9,12,3.7,1543|4862|6581|7412|8605|23042|23764|51291|54658,CYP1A1|NPAS2|SLC22A3|VCAM1|PLA2G4C|PDXDC1|MAFF|GMIP|UGT1A1,-1.9,MyList
DisGeNET,35,C0524910,"Hepatitis C, Chronic",,-4.9,7.4,6.7,30284,430,76,8,11,3.5,1543|1591|4938|5465|5743|7433|8856|54658,CYP1A1|CYP24A1|OAS1|PPARA|PTGS2|VIPR1|NR1I2|UGT1A1,-1.9,MyList
TRRUST,34,TRR00270,Regulated by: EP300,,-4.7,25,9.7,30284,63,76,4,5.3,2.6,1545|3910|5743|7412,CYP1B1|LAMA4|PTGS2|VCAM1,-1.7,MyList
Cell Type Signatures,7,M40013,BUSSLINGER GASTRIC MATURE PIT CELLS,,-4.7,11,7.3,30284,224,76,6,7.9,3.1,218|4938|7032|25987|79152|399665,ALDH3A1|OAS1|TFF2|TSKU|FA2H|EEIG1,-1.7,MyList
DisGeNET,35,C0007107,Malignant neoplasm of larynx,,-4.6,8,6.6,30284,349,76,7,9.2,3.3,1543|1545|5743|6520|8140|8878|54658,CYP1A1|CYP1B1|PTGS2|SLC3A2|SLC7A5|SQSTM1|UGT1A1,-1.6,MyList
DisGeNET,35,C4733092,estrogen receptor-negative breast cancer,,-4.5,7.8,6.5,30284,356,76,7,9.2,3.3,1543|1545|1591|5743|51703|54658|399665,CYP1A1|CYP1B1|CYP24A1|PTGS2|ACSL5|UGT1A1|EEIG1,-1.5,MyList
DisGeNET,35,C0023532,"Leukoplakia, Oral",,-4.5,14,7.7,30284,144,76,5,6.6,2.8,1543|1545|5743|7053|102724428,CYP1A1|CYP1B1|PTGS2|TGM3|LOC102724428,-1.5,MyList
DisGeNET,35,C1859807,"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)",,-4.5,48,12,30284,25,76,3,3.9,2.2,6654|8878|259173,SOS1|SQSTM1|ALS2CL,-1.5,MyList
DisGeNET,35,C0011603,Dermatitis,,-4.5,6.4,6.1,30284,496,76,8,11,3.5,2069|2838|5465|5743|7053|7412|8140|8856,EREG|GPR15|PPARA|PTGS2|TGM3|VCAM1|SLC7A5|NR1I2,-1.5,MyList
DisGeNET,35,C0037286,Skin Neoplasms,,-4.4,7.7,6.4,30284,363,76,7,9.2,3.3,360|2069|5743|6654|7412|8856|8878,AQP3|EREG|PTGS2|SOS1|VCAM1|NR1I2|SQSTM1,-1.5,MyList
DisGeNET,35,C0740457,Malignant neoplasm of kidney,,-4.4,5.4,5.8,30284,664,76,9,12,3.7,1543|1545|4862|5743|6520|6581|8856|8878|80274,CYP1A1|CYP1B1|NPAS2|PTGS2|SLC3A2|SLC22A3|NR1I2|SQSTM1|SCUBE1,-1.5,MyList
DisGeNET,35,C1527390,"Neoplasms, Intracranial",,-4.3,13,7.4,30284,157,76,5,6.6,2.8,1545|4938|5465|5743|9518,CYP1B1|OAS1|PPARA|PTGS2|GDF15,-1.4,MyList
DisGeNET,35,C3875321,Inflammatory dermatosis,,-4.3,7.3,6.2,30284,382,76,7,9.2,3.3,2069|5465|5743|7053|7412|8140|8856,EREG|PPARA|PTGS2|TGM3|VCAM1|SLC7A5|NR1I2,-1.4,MyList
DisGeNET,35,C0031099,Periodontitis,,-4.3,5.3,5.7,30284,679,76,9,12,3.7,290|360|1543|1545|5465|5743|7412|8856|8878,ANPEP|AQP3|CYP1A1|CYP1B1|PPARA|PTGS2|VCAM1|NR1I2|SQSTM1,-1.4,MyList
DisGeNET,35,C0014170,Endometrial Neoplasms,,-4.3,9.2,6.6,30284,261,76,6,7.9,3.1,1543|1545|3484|5743|8856|54658,CYP1A1|CYP1B1|IGFBP1|PTGS2|NR1I2|UGT1A1,-1.4,MyList
DisGeNET,35,C0155490,Middle Ear Cholesteatoma,,-4.3,41,11,30284,29,76,3,3.9,2.2,2069|5743|6581,EREG|PTGS2|SLC22A3,-1.4,MyList
TRRUST,34,TRR01277,Regulated by: STAT3,,-4.3,12,7.2,30284,162,76,5,6.6,2.8,4938|5465|5743|6654|79152,OAS1|PPARA|PTGS2|SOS1|FA2H,-1.4,MyList
PaGenBase,36,PGB:00001,Tissue-specific: liver,,-4.2,5.2,5.6,30284,691,76,9,12,3.7,3484|6581|7032|8856|25987|51703|54658|64838|84699,IGFBP1|SLC22A3|TFF2|NR1I2|TSKU|ACSL5|UGT1A1|FNDC4|CREB3L3,-1.4,MyList
DisGeNET,35,C0860207,Drug-Induced Liver Disease,,-4.2,5.9,5.8,30284,537,76,8,11,3.5,1543|4938|5465|5743|8856|9615|54658|84913,CYP1A1|OAS1|PPARA|PTGS2|NR1I2|GDA|UGT1A1|ATOH8,-1.4,MyList
DisGeNET,35,C4551686,Malignant neoplasm of soft tissue,,-4.2,5.1,5.5,30284,699,76,9,12,3.7,4862|5743|6550|7433|9424|9518|54658|57491|102724428,NPAS2|PTGS2|SLC9A3|VIPR1|KCNK6|GDF15|UGT1A1|AHRR|LOC102724428,-1.4,MyList
DisGeNET,35,C0024115,Lung diseases,,-4.2,5.1,5.5,30284,700,76,9,12,3.7,1543|2069|4586|5465|5743|6550|7032|8856|57491,CYP1A1|EREG|MUC5AC|PPARA|PTGS2|SLC9A3|TFF2|NR1I2|AHRR,-1.4,MyList
DisGeNET,35,C0013221,Drug toxicity,,-4.2,19,8.2,30284,86,76,4,5.3,2.6,3484|5465|5743|54658,IGFBP1|PPARA|PTGS2|UGT1A1,-1.4,MyList
DisGeNET,35,C0041755,Adverse reaction to drug,,-4.2,18,8.1,30284,87,76,4,5.3,2.6,3484|5465|5743|54658,IGFBP1|PPARA|PTGS2|UGT1A1,-1.4,MyList
DisGeNET,35,C1519689,Tumor Promotion,,-4.2,12,7,30284,170,76,5,6.6,2.8,1543|2069|5743|6520|8856,CYP1A1|EREG|PTGS2|SLC3A2|NR1I2,-1.4,MyList
DisGeNET,35,C0023267,Fibroid Tumor,,-4.1,6.8,5.9,30284,413,76,7,9.2,3.3,1543|1545|3484|5743|6520|8140|8878,CYP1A1|CYP1B1|IGFBP1|PTGS2|SLC3A2|SLC7A5|SQSTM1,-1.3,MyList
PaGenBase,36,PGB:00031,Tissue-specific: trachea,,-4.1,18,7.9,30284,91,76,4,5.3,2.6,218|1543|4586|6581,ALDH3A1|CYP1A1|MUC5AC|SLC22A3,-1.3,MyList
DisGeNET,35,C0018552,Hamartoma,,-4.1,18,7.9,30284,91,76,4,5.3,2.6,1543|2069|3910|5743,CYP1A1|EREG|LAMA4|PTGS2,-1.3,MyList
DisGeNET,35,C0740277,Bile duct carcinoma,,-4.1,18,7.9,30284,91,76,4,5.3,2.6,1543|5743|8140|8856,CYP1A1|PTGS2|SLC7A5|NR1I2,-1.3,MyList
DisGeNET,35,C0266929,Chronic Periodontitis,,-4.1,8.3,6.3,30284,287,76,6,7.9,3.1,360|5743|7053|7412|8856|9962,AQP3|PTGS2|TGM3|VCAM1|NR1I2|SLC23A2,-1.3,MyList
DisGeNET,35,C0042133,Uterine Fibroids,,-4,5.6,5.6,30284,569,76,8,11,3.5,1543|1545|1591|3484|5743|6520|8140|8878,CYP1A1|CYP1B1|CYP24A1|IGFBP1|PTGS2|SLC3A2|SLC7A5|SQSTM1,-1.3,MyList
DisGeNET,35,C0024305,"Lymphoma, Non-Hodgkin",,-4,4.9,5.4,30284,733,76,9,12,3.7,290|1543|1545|1591|4862|5743|7412|7433|9962,ANPEP|CYP1A1|CYP1B1|CYP24A1|NPAS2|PTGS2|VCAM1|VIPR1|SLC23A2,-1.3,MyList
DisGeNET,35,C0332840,Amputated structure (morphologic abnormality),,-4,17,7.8,30284,94,76,4,5.3,2.6,5743|8856|9518|11093,PTGS2|NR1I2|GDF15|ADAMTS13,-1.3,MyList
DisGeNET,35,C0278488,Carcinoma breast stage IV,,-4,5.6,5.5,30284,573,76,8,11,3.5,1543|5743|6520|6581|7412|8856|8878|54658,CYP1A1|PTGS2|SLC3A2|SLC22A3|VCAM1|NR1I2|SQSTM1|UGT1A1,-1.3,MyList
DisGeNET,35,C0017185,Gastrointestinal Neoplasms,,-4,11,6.8,30284,182,76,5,6.6,2.8,4586|5743|7433|8856|9518,MUC5AC|PTGS2|VIPR1|NR1I2|GDF15,-1.3,MyList
DisGeNET,35,C0154251,Lipid Metabolism Disorders,,-4,17,7.7,30284,95,76,4,5.3,2.6,1545|3032|5465|8856,CYP1B1|HADHB|PPARA|NR1I2,-1.3,MyList
DisGeNET,35,C4552766,Miscarriage,,-4,6.5,5.8,30284,426,76,7,9.2,3.3,1543|1545|1591|3484|3910|7412|11093,CYP1A1|CYP1B1|CYP24A1|IGFBP1|LAMA4|VCAM1|ADAMTS13,-1.3,MyList
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-4,5.5,5.5,30284,577,76,8,11,3.5,4938|5743|7477|8878|9424|23764|51703|219855,OAS1|PTGS2|WNT7B|SQSTM1|KCNK6|MAFF|ACSL5|SLC37A2,-1.3,MyList
DisGeNET,35,C0022665,Kidney Neoplasm,,-4,8.1,6.2,30284,295,76,6,7.9,3.1,290|1543|1545|5743|7412|80274,ANPEP|CYP1A1|CYP1B1|PTGS2|VCAM1|SCUBE1,-1.3,MyList
DisGeNET,35,C0011175,Dehydration,,-4,8.1,6.2,30284,295,76,6,7.9,3.1,360|1591|4586|8856|25987|54658,AQP3|CYP24A1|MUC5AC|NR1I2|TSKU|UGT1A1,-1.3,MyList
Cell Type Signatures,7,M39135,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-4,11,6.7,30284,184,76,5,6.6,2.8,6520|8878|9518|10723|23764,SLC3A2|SQSTM1|GDF15|SLC12A7|MAFF,-1.3,MyList
Cell Type Signatures,7,M39125,AIZARANI LIVER C24 EPCAM POS BILE DUCT CELLS 3,,-4,11,6.7,30284,185,76,5,6.6,2.8,290|360|10723|79152|399665,ANPEP|AQP3|SLC12A7|FA2H|EEIG1,-1.3,MyList
DisGeNET,35,C0011615,"Dermatitis, Atopic",,-4,4.8,5.3,30284,750,76,9,12,3.7,360|1543|1591|5465|5743|7053|7412|8856|79152,AQP3|CYP1A1|CYP24A1|PPARA|PTGS2|TGM3|VCAM1|NR1I2|FA2H,-1.3,MyList
Cell Type Signatures,7,M40220,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-4,8,6.1,30284,300,76,6,7.9,3.1,1591|7477|54658|79152|120224|388115,CYP24A1|WNT7B|UGT1A1|FA2H|TMEM45B|CCDC9B,-1.3,MyList
COVID,200,COVID038,RNA_Sun_Calu-3_12h_Up,,-4,8,6.1,30284,300,76,6,7.9,3.1,1543|1545|4938|5743|7412|25976,CYP1A1|CYP1B1|OAS1|PTGS2|VCAM1|TIPARP,-1.3,MyList
DisGeNET,35,C0262401,Carcinoma of ampulla of Vater,,-4,32,9.6,30284,37,76,3,3.9,2.2,1543|4586|5743,CYP1A1|MUC5AC|PTGS2,-1.3,MyList
DisGeNET,35,C0000786,Spontaneous abortion,,-3.9,11,6.6,30284,188,76,5,6.6,2.8,1543|1545|1591|3484|3910,CYP1A1|CYP1B1|CYP24A1|IGFBP1|LAMA4,-1.3,MyList
DisGeNET,35,C0153381,Malignant neoplasm of mouth,,-3.9,4.7,5.2,30284,756,76,9,12,3.7,360|1543|1545|1591|5465|5743|8878|9518|57491,AQP3|CYP1A1|CYP1B1|CYP24A1|PPARA|PTGS2|SQSTM1|GDF15|AHRR,-1.3,MyList
DisGeNET,35,C0948089,Acute Coronary Syndrome,,-3.9,6.4,5.7,30284,439,76,7,9.2,3.3,1543|5465|5743|7412|9518|9962|51703,CYP1A1|PPARA|PTGS2|VCAM1|GDF15|SLC23A2|ACSL5,-1.3,MyList
DisGeNET,35,C0948780,Rhinosinusitis,,-3.9,31,9.4,30284,38,76,3,3.9,2.2,4586|5743|8856,MUC5AC|PTGS2|NR1I2,-1.3,MyList
DisGeNET,35,C0271650,Impaired glucose tolerance,,-3.9,5.3,5.4,30284,596,76,8,11,3.5,290|1545|3484|5465|7412|8856|9518|64838,ANPEP|CYP1B1|IGFBP1|PPARA|VCAM1|NR1I2|GDF15|FNDC4,-1.3,MyList
Cell Type Signatures,7,M40283,DESCARTES FETAL PLACENTA VASCULAR ENDOTHELIAL CELLS,,-3.9,16,7.4,30284,102,76,4,5.3,2.6,1543|7433|57186|57520,CYP1A1|VIPR1|RALGAPA2|HECW2,-1.3,MyList
DisGeNET,35,C0023531,Leukoplakia,,-3.9,16,7.4,30284,102,76,4,5.3,2.6,1543|5743|7053|102724428,CYP1A1|PTGS2|TGM3|LOC102724428,-1.3,MyList
DisGeNET,35,C0341439,Chronic liver disease,,-3.9,10,6.5,30284,196,76,5,6.6,2.8,1543|3484|7412|9518|54658,CYP1A1|IGFBP1|VCAM1|GDF15|UGT1A1,-1.3,MyList
DisGeNET,35,C0035242,Respiratory Tract Diseases,,-3.8,10,6.4,30284,198,76,5,6.6,2.8,1545|4586|5743|6581|54658,CYP1B1|MUC5AC|PTGS2|SLC22A3|UGT1A1,-1.2,MyList
DisGeNET,35,C0595989,Carcinoma of larynx,,-3.8,6.1,5.5,30284,456,76,7,9.2,3.3,1543|1545|5743|6520|8140|8878|54658,CYP1A1|CYP1B1|PTGS2|SLC3A2|SLC7A5|SQSTM1|UGT1A1,-1.2,MyList
DisGeNET,35,C1704436,Peripheral Arterial Diseases,,-3.8,7.5,5.8,30284,319,76,6,7.9,3.1,5743|7412|8856|9518|11093|54658,PTGS2|VCAM1|NR1I2|GDF15|ADAMTS13|UGT1A1,-1.2,MyList
DisGeNET,35,C1333001,Childhood Renal Cell Carcinoma,,-3.8,15,7.2,30284,107,76,4,5.3,2.6,1543|1545|6520|80274,CYP1A1|CYP1B1|SLC3A2|SCUBE1,-1.2,MyList
DisGeNET,35,C0004623,Bacterial Infections,,-3.8,5.2,5.3,30284,616,76,8,11,3.5,4586|4938|5465|5743|6520|8140|8856|11093,MUC5AC|OAS1|PPARA|PTGS2|SLC3A2|SLC7A5|NR1I2|ADAMTS13,-1.2,MyList
TRRUST,34,TRR01060,Regulated by: PPARA,,-3.8,28,8.9,30284,42,76,3,3.9,2.2,1543|3484|5743,CYP1A1|IGFBP1|PTGS2,-1.2,MyList
DisGeNET,35,C3830362,Early Pregnancy Loss,,-3.8,15,7.1,30284,109,76,4,5.3,2.6,1543|1591|3484|3910,CYP1A1|CYP24A1|IGFBP1|LAMA4,-1.2,MyList
DisGeNET,35,C0000822,"Abortion, Tubal",,-3.8,15,7.1,30284,109,76,4,5.3,2.6,1543|1591|3484|3910,CYP1A1|CYP24A1|IGFBP1|LAMA4,-1.2,MyList
DisGeNET,35,C0035204,Respiration Disorders,,-3.7,9.6,6.2,30284,208,76,5,6.6,2.8,2069|4586|5743|6581|54658,EREG|MUC5AC|PTGS2|SLC22A3|UGT1A1,-1.2,MyList
DisGeNET,35,C0021831,Intestinal Diseases,,-3.7,9.5,6.2,30284,209,76,5,6.6,2.8,4586|5465|5743|6550|8856,MUC5AC|PPARA|PTGS2|SLC9A3|NR1I2,-1.2,MyList
DisGeNET,35,C0002152,Alloxan Diabetes,,-3.7,14,7,30284,112,76,4,5.3,2.6,1543|5465|5743|6550,CYP1A1|PPARA|PTGS2|SLC9A3,-1.2,MyList
DisGeNET,35,C0038433,Streptozotocin Diabetes,,-3.7,14,7,30284,112,76,4,5.3,2.6,1543|5465|5743|6550,CYP1A1|PPARA|PTGS2|SLC9A3,-1.2,MyList
DisGeNET,35,C0004763,Barrett Esophagus,,-3.7,5.8,5.3,30284,478,76,7,9.2,3.3,290|4586|5743|7032|7412|8856|9518,ANPEP|MUC5AC|PTGS2|TFF2|VCAM1|NR1I2|GDF15,-1.2,MyList
DisGeNET,35,C1443924,Severe diarrhea,,-3.6,25,8.4,30284,47,76,3,3.9,2.2,360|6550|54658,AQP3|SLC9A3|UGT1A1,-1.1,MyList
DisGeNET,35,C3714514,Infection,,-3.6,5.7,5.2,30284,491,76,7,9.2,3.3,290|4938|5465|5743|7032|7412|7433,ANPEP|OAS1|PPARA|PTGS2|TFF2|VCAM1|VIPR1,-1.1,MyList
TRRUST,34,TRR00674,Regulated by: KLF4,,-3.6,25,8.3,30284,48,76,3,3.9,2.2,1543|3910|9518,CYP1A1|LAMA4|GDF15,-1.1,MyList
DisGeNET,35,C0020476,Hyperlipoproteinemias,,-3.6,24,8.2,30284,49,76,3,3.9,2.2,5465|7412|84699,PPARA|VCAM1|CREB3L3,-1.1,MyList
DisGeNET,35,C2216702,malignant neoplasm of breast staging,,-3.6,24,8.2,30284,49,76,3,3.9,2.2,1917|5743|7412,EEF1A2|PTGS2|VCAM1,-1.1,MyList
DisGeNET,35,C2316810,Chronic kidney disease stage 5,,-3.6,4.8,5,30284,665,76,8,11,3.5,1543|1591|3484|5465|5743|6550|7477|11093,CYP1A1|CYP24A1|IGFBP1|PPARA|PTGS2|SLC9A3|WNT7B|ADAMTS13,-1.1,MyList
DisGeNET,35,C0236734,Caffeine related disorders,,-3.5,6.7,5.4,30284,359,76,6,7.9,3.1,1543|1917|5743|8856|8878|54658,CYP1A1|EEF1A2|PTGS2|NR1I2|SQSTM1|UGT1A1,-1,MyList
DisGeNET,35,C0007820,Cerebrovascular Disorders,,-3.5,8.6,5.8,30284,233,76,5,6.6,2.8,5743|7412|9518|11093|54658,PTGS2|VCAM1|GDF15|ADAMTS13|UGT1A1,-1,MyList
DisGeNET,35,C0025568,Metaplasia,,-3.5,23,8,30284,52,76,3,3.9,2.2,5743|9518|51703,PTGS2|GDF15|ACSL5,-1,MyList
DisGeNET,35,C0022672,Acute Kidney Tubular Necrosis,,-3.5,23,7.9,30284,53,76,3,3.9,2.2,5465|5743|6550,PPARA|PTGS2|SLC9A3,-1,MyList
DisGeNET,35,C0022346,Icterus,,-3.4,8.3,5.7,30284,241,76,5,6.6,2.8,1543|6581|8856|11093|54658,CYP1A1|SLC22A3|NR1I2|ADAMTS13|UGT1A1,-0.96,MyList
DisGeNET,35,C0349204,Nonorganic psychosis,,-3.4,6.4,5.2,30284,376,76,6,7.9,3.1,1917|6581|7412|8140|8856|9518,EEF1A2|SLC22A3|VCAM1|SLC7A5|NR1I2|GDF15,-0.95,MyList
Cell Type Signatures,7,M40175,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-3.4,8.2,5.7,30284,243,76,5,6.6,2.8,360|2635|9518|23764|195814,AQP3|GBP3|GDF15|MAFF|SDR16C5,-0.95,MyList
Cell Type Signatures,7,M39159,GAO LARGE INTESTINE 24W C10 ENTEROCYTE,,-3.4,21,7.6,30284,56,76,3,3.9,2.2,290|8856|120224,ANPEP|NR1I2|TMEM45B,-0.94,MyList
DisGeNET,35,C0022602,Actinic keratosis,,-3.4,12,6.3,30284,136,76,4,5.3,2.6,360|1591|5465|5743,AQP3|CYP24A1|PPARA|PTGS2,-0.94,MyList
DisGeNET,35,C0038358,Gastric ulcer,,-3.4,12,6.3,30284,136,76,4,5.3,2.6,4586|5743|7032|7412,MUC5AC|PTGS2|TFF2|VCAM1,-0.94,MyList
