Name	DESCRIPTION	Control	15c	15c	Control	15an	15a	15an	15a
ENSG00000229305		0	0	6	0	0	0	0	0
SLC45A1		20	18	4	14	27	35	20	8
RERE		576	915	252	644	1499	802	760	859
RERE-AS1		0	26	0	0	10	0	0	28
ENSG00000221083		0	0	0	0	2	7	2	2
ENSG00000270282		0	12	0	0	0	0	4	4
RPL7P11		28	0	0	0	10	0	4	0
RPL7P7		0	0	0	0	0	0	22	0
ENSG00000222511		0	0	0	0	0	1	0	0
ENSG00000226545		2	29	0	6	0	0	2	1
ENSG00000228423		0	21	6	6	0	28	0	0
ENO1		4653	8295	2352	7293	16506	10193	4773	5494
ENSG00000236269		18	62	10	30	23	30	38	47
ENO1-AS1		0	0	0	0	0	0	0	0
RN7SL451P		3	13	5	3	19	18	8	4
SLC2A5		0	0	0	0	0	0	0	0
ENSG00000252404		0	0	0	0	0	0	0	0
GPR157		200	463	159	285	998	543	424	359
ENSG00000207865		12	2	6	4	0	0	0	0
MIR34AHG		0	15	0	17	8	6	0	1
LNCTAM34A		0	0	0	0	18	0	22	2
H6PD		718	1873	486	1063	3153	1657	1004	1288
SPSB1		112	385	36	172	628	324	269	181
SLC25A33		130	201	57	87	339	184	114	86
ENSG00000231181		0	8	0	2	10	0	15	0
TMEM201		168	396	73	275	646	331	201	299
PIK3CD		4	26	2	19	80	38	40	16
ENSG00000233268		4	5	12	6	2	31	0	12
PIK3CD-AS2		0	0	0	0	0	0	0	0
CLSTN1		993	2262	451	1330	3535	1838	1491	1302
ENSG00000280113		20	0	0	0	0	0	0	0
CTNNBIP1		122	119	9	69	256	96	101	101
LZIC		42	42	15	162	200	102	87	101
ENSG00000228150		0	0	0	0	0	24	0	3
NMNAT1		46	156	5	61	135	110	46	23
RN7SKP269		0	0	0	0	14	0	1	4
UBE4B		194	506	182	276	904	327	238	345
RPL21P21		0	0	0	0	0	0	0	4
PGAM1P11		8	4	18	4	0	0	0	3
RNU6-828P		0	0	0	0	0	18	0	10
KIF1B		388	1056	318	614	1457	679	728	362
ENSG00000264881		10	0	0	0	0	0	0	0
RNU6-37P		6	17	3	23	14	21	10	11
PGD		2797	7041	1854	3977	11406	6603	4976	4756
CENPS		0	0	12	29	0	22	1	36
CORT		1	2	0	4	0	0	0	0
DFFA		279	548	120	621	1188	698	483	324
PEX14		92	387	18	237	518	136	219	159
RN7SL614P		0	0	0	0	0	9	0	0
CASZ1		67	62	0	87	107	95	48	77
ENSG00000272078		21	0	0	11	8	15	0	2
C1orf127		0	0	0	0	0	0	0	0
TARDBP		214	423	137	255	438	379	148	325
MASP2		0	0	2	46	4	14	0	0
ENSG00000271895		0	0	0	0	0	0	0	0
SRM		223	541	113	316	676	591	327	202
EXOSC10		133	187	14	70	320	208	185	238
ENSG00000226849		0	0	0	0	0	3	0	0
EXOSC10-AS1		12	0	0	0	0	0	0	0
MTOR		360	771	255	498	1221	686	401	496
MTOR-AS1		0	0	0	0	0	0	0	0
RNU6-537P		0	0	0	0	0	0	0	16
ANGPTL7		16	67	3	0	4	14	0	32
RPL39P6		6	2	0	0	0	0	0	0
UBIAD1		48	138	29	106	272	203	102	83
FBXO2		0	18	2	4	2	9	8	0
FBXO44		16	195	24	25	359	230	94	228
FBXO6		76	403	94	176	375	257	327	179
MAD2L2		93	383	116	390	571	350	134	189
DRAXIN		0	1	0	0	0	0	0	0
AGTRAP		215	459	34	183	857	352	366	245
C1orf167		0	0	0	0	0	0	0	0
C1orf167-AS1		0	5	0	0	0	0	0	0
MTHFR		161	1044	176	360	944	574	608	456
CLCN6		106	216	36	51	264	98	184	101
ENSG00000242349		0	0	0	0	0	0	0	0
NPPA		0	0	0	6	0	0	0	0
RNU5E-1		5887	12209	6204	8297	17337	10307	10937	7109
RNU5E-4P		166	288	129	265	523	314	270	183
KIAA2013		593	1000	427	511	1938	957	912	669
PLOD1		943	2717	618	1352	3564	2018	1788	1469
MFN2		459	1329	362	736	2169	1249	892	820
MIIP		144	316	114	319	558	365	360	200
ENSG00000202461		0	0	0	0	0	0	0	0
RN7SL649P		0	0	0	0	1	1	0	0
TNFRSF8		2	0	0	0	0	0	0	0
TNFRSF1B		165	500	205	172	447	171	238	237
RPL10P17		0	8	0	0	0	0	0	0
VPS13D		473	930	244	523	1787	726	687	458
SNORA59A		0	25	4	26	30	19	24	2
LINC02766		28	22	0	9	10	0	10	16
DHRS3		967	2139	498	1244	3740	1919	2783	1270
RNU6ATAC18P		0	0	0	4	0	0	4	0
MIR6730		0	6	0	0	0	0	6	1
ENSG00000272482		20	72	16	26	129	42	83	57
PRAMEF1		0	0	0	0	0	0	0	0
HNRNPCL1		0	0	0	0	0	0	0	0
PDPN		0	0	0	0	0	0	0	0
PRDM2		139	251	55	136	293	183	122	91
KAZN		28	38	0	20	60	55	78	36
TMEM51-AS1		0	0	0	10	0	0	0	0
TMEM51		112	188	84	73	245	162	98	94
TMEM51-AS2		0	0	0	0	2	24	0	0
MFFP1		0	0	0	0	0	0	0	0
FHAD1		22	43	0	52	21	52	10	10
FHAD1-AS1		0	0	0	0	0	10	16	2
ENSG00000236045		0	2	0	0	9	0	0	0
EFHD2-AS1		0	2	0	0	4	10	20	2
EFHD2		1642	3297	746	2003	3361	2824	1819	2070
CTRC		0	0	0	0	0	0	22	0
CELA2A		0	0	0	0	0	2	0	0
CELA2B		16	0	0	2	0	0	0	11
CASP9		104	175	36	68	244	121	100	157
DNAJC16		120	276	94	94	533	242	172	141
SCARNA21B		2	26	4	15	42	14	16	30
AGMAT		44	82	4	18	120	69	74	24
ENSG00000237301		0	6	12	4	0	10	0	6
CHCHD2P6		3	2	0	2	8	14	3	0
DDI2		152	332	37	221	422	291	395	168
PLEKHM2		360	800	238	404	1255	818	716	506
ENSG00000237938		6	8	4	18	4	6	0	5
SLC25A34		0	0	14	0	0	25	28	0
SLC25A34-AS1		0	0	0	0	2	0	0	0
TMEM82		0	0	0	0	0	0	0	0
FBLIM1		701	1469	505	728	2136	1272	1082	762
RPL12P14		30	6	0	0	9	4	0	10
UQCRHL		15	14	15	17	41	1	12	10
ENSG00000178715		0	0	10	0	11	6	0	5
SPEN-AS1		34	67	0	42	115	12	4	59
SPEN		630	1739	389	900	2327	1398	1120	843
ENSG00000270620		7	8	0	0	0	0	0	14
ZBTB17		124	403	153	211	351	156	283	229
ENSG00000234607		0	0	2	0	0	0	0	0
HSPB7		10	20	20	4	84	35	12	0
CLCNKA		0	0	0	6	0	0	4	0
FAM131C2P		0	0	14	6	3	0	0	0
CLCNKB		0	0	0	0	0	0	0	0
FAM131C		10	21	0	14	11	16	16	54
EPHA2		1104	1783	351	1394	2547	1697	1209	1254
EPHA2-AS1		10	40	2	36	50	61	54	16
ENSG00000224621		0	0	2	0	4	0	0	8
ARHGEF19		67	103	30	42	178	126	116	99
ANO7L1		0	10	0	2	0	12	2	10
CPLANE2		28	46	14	52	59	18	16	35
FBXO42		86	215	76	193	368	188	127	103
SZRD1		697	985	333	566	1686	813	700	659
RPL22P3		0	0	0	0	0	0	2	0
SPATA21		0	0	6	3	21	4	0	9
NECAP2		216	590	136	332	1089	369	482	333
LINC01772		27	52	6	10	48	14	45	4
CROCCP3		88	94	5	58	132	106	102	140
RNU1-1		6190	22482	8517	15013	29555	17979	20363	14297
ENSG00000261135		0	0	0	0	0	0	0	1
ENSG00000224174		0	0	0	0	1	0	4	0
LINC01783		15	19	5	6	13	12	1	12
NBPF1		91	222	62	126	491	204	280	151
ENSG00000271732		0	0	0	0	6	0	0	0
CROCCP2		223	481	48	265	576	361	274	273
MST1P2		43	15	16	18	66	91	4	54
RNU1-3		6064	21772	8142	14704	33564	17200	19698	13728
EIF1AXP1		70	40	0	32	78	41	42	25
CROCC		259	389	105	362	558	470	286	311
RNU1-4		19021	106228	47174	53041	84481	83985	109066	62173
CROCCP4		0	0	0	0	0	0	0	0
MST1L		0	16	2	0	13	21	0	25
LINC03126		10	27	10	4	33	48	4	21
ENSG00000238142		0	7	0	0	17	5	0	15
ENSG00000235241		0	0	0	0	4	4	0	0
RNU1-2		41007	99799	45247	52603	140156	113746	107247	60636
MFAP2		0	0	0	0	1	0	0	0
ENSG00000226526		0	0	0	0	8	0	0	0
ATP13A2		342	749	169	322	1151	793	485	411
SDHB		284	518	195	336	1081	487	432	410
PADI2		0	0	0	0	12	0	0	0
LINC02783		0	0	0	0	2	0	0	0
PADI1		5	0	0	0	0	0	0	4
PADI3		0	0	0	0	0	0	0	0
RCC2		447	748	203	742	1443	893	712	584
ARHGEF10L		377	1164	274	579	1959	1053	790	596
ACTL8		0	0	0	0	12	0	0	0
KLHDC7A		0	0	0	0	0	0	0	0
ENSG00000255275		0	0	0	0	0	0	0	0
ALDH4A1		106	107	6	41	208	109	44	108
IFFO2		107	394	39	236	437	320	201	147
ENSG00000272084		10	26	0	12	26	0	0	0
UBR4		1882	4850	1191	2655	7080	4601	3411	2858
EMC1-AS1		0	3	0	13	0	0	4	0
EMC1		494	889	250	406	1295	789	714	671
MRTO4		249	650	160	434	1131	873	312	317
AKR7L		41	49	26	70	44	52	10	3
AKR7A3		49	67	47	14	45	52	13	38
ENSG00000270728		6	0	0	0	4	14	16	0
AKR7A2		33	377	110	146	528	257	252	177
RNU6-1099P		0	0	0	0	2	0	0	0
SLC66A1		117	346	115	205	641	314	178	249
CAPZB		248	766	229	355	1164	739	303	297
RN7SL277P		4	0	0	1	5	1	1	2
MICOS10		10	25	0	12	28	8	37	0
ENSG00000226396		2	24	8	18	6	1	0	0
NBL1		95	510	86	267	538	316	243	229
HTR6		0	0	0	0	0	8	0	0
TMCO4		104	373	86	91	559	276	338	169
OTUD3		106	244	46	165	196	222	171	115
PLA2G2D		0	0	0	0	0	0	0	0
PLA2G2F		0	2	0	0	0	0	0	0
ENSG00000227066		0	0	0	0	0	0	2	0
PLA2G2C		0	4	0	0	0	0	0	0
UBXN10		0	0	0	0	12	0	0	0
VWA5B1		0	8	0	2	4	72	0	0
CAMK2N1		251	719	230	434	898	582	375	262
MUL1		117	291	26	145	528	222	211	112
FAM43B		0	0	0	0	0	0	0	0
CDA		2	129	6	15	161	32	94	58
PINK1		128	655	89	136	892	425	399	346
PINK1-AS		24	4	2	2	0	38	0	0
DDOST		635	1408	305	1090	2213	1267	880	582
KIF17		0	8	0	10	30	0	2	8
SH2D5		105	182	52	220	234	78	128	122
HP1BP3		900	1625	345	1077	2128	1382	976	971
EIF4G3		387	995	255	500	1564	727	579	508
RPS15AP6		10	0	0	0	2	0	0	0
ENSG00000236073		0	0	0	0	0	0	0	0
HSPE1P27		19	0	0	0	0	0	8	0
ECE1		880	2694	679	1737	3737	2261	2198	1764
ENSG00000236936		2	0	0	8	18	0	0	0
ECE1-AS1		8	24	4	0	6	0	0	10
PPP1R11P1		0	0	0	0	0	0	2	0
NBPF2P		0	0	0	9	2	0	0	0
HS6ST1P1		12	8	0	1	34	38	0	0
CROCCP5		0	0	0	0	0	0	0	0
NBPF3		1	63	6	21	72	28	6	43
ALPL		0	0	0	0	50	0	28	0
RAP1GAP		572	2204	489	627	3231	1811	1394	1157
USP48		218	462	145	236	844	540	517	256
ENSG00000231978		0	10	0	2	0	2	0	0
LDLRAD2		0	0	0	0	20	0	0	0
HSPG2		2798	7611	1730	5168	8805	4927	4276	4332
RPL21P29		0	0	0	0	2	0	0	0
CELA3B		0	0	0	0	0	2	0	0
LINC01635		0	0	0	0	0	0	0	0
LINC00339		20	15	13	32	185	85	54	62
CDC42		731	1154	275	1046	2355	1316	773	947
CDC42-IT1		0	12	12	8	6	8	4	13
MPHOSPH6P1		0	0	0	0	14	0	6	0
ENSG00000271840		6	12	0	0	6	0	0	0
WNT4		26	35	0	14	22	64	10	54
PPIAP34		0	0	0	0	0	0	0	0
ZBTB40		156	389	66	288	551	362	166	124
ZBTB40-IT1		0	0	0	0	0	0	4	0
EPHB2		88	225	87	114	294	79	95	73
ENSG00000225952		0	0	0	0	0	0	0	0
ENSG00000272796		0	0	0	8	0	52	24	0
KDM1A		603	1286	389	803	1928	1420	907	824
ENSG00000240553		0	0	0	0	0	0	0	24
MIR3115		0	0	0	0	0	0	4	0
ENSG00000266802		0	14	0	0	0	0	0	0
LUZP1		399	619	136	353	1339	539	422	325
ENSG00000229010		18	4	0	0	65	22	10	20
RNU6-514P		16	0	0	0	4	0	0	0
RNU6-135P		0	0	0	0	0	0	0	0
HTR1D		3	77	8	52	85	111	23	61
LINC01355		16	82	11	38	62	30	73	95
HNRNPR		1059	1131	370	986	1803	1286	605	527
ZNF436		56	133	38	82	234	78	130	62
ZNF436-AS1		48	73	38	34	57	26	4	18
ENSG00000271420		0	0	0	0	2	2	6	0
TCEA3		121	134	50	48	74	93	95	65
ENSG00000232482		0	0	0	0	0	0	0	0
ASAP3		268	602	90	133	608	396	411	230
E2F2		94	132	8	104	142	148	52	40
ENSG00000235052		2	6	0	11	16	0	0	0
ID3		3270	3612	2068	5110	10702	7154	1951	3261
MDS2		0	0	0	26	0	0	0	0
RPL11		958	1821	647	1161	3036	1939	1372	1095
ENSG00000203589		1	29	6	32	4	27	38	4
ELOA		250	538	134	377	841	555	288	336
ELOA-AS1		3	16	0	0	2	26	0	16
PITHD1		39	258	49	141	386	386	186	126
LYPLA2		209	739	186	438	983	547	489	394
GALE		416	1064	256	767	1724	998	969	808
HMGCL		169	458	130	139	1113	444	333	273
FUCA1		133	533	53	319	666	336	310	161
ENSG00000232557		0	0	0	1	0	0	0	0
PNRC2		144	374	41	285	578	302	114	314
SRSF10		390	885	184	646	1235	793	636	478
ENSG00000225315		9	0	0	0	0	0	0	11
MYOM3		126	219	135	130	297	262	81	148
IL22RA1		8	74	62	28	231	96	145	62
IFNLR1		43	114	39	67	165	74	82	100
GRHL3		0	0	0	0	0	0	0	0
STPG1		40	158	30	66	237	145	119	139
NIPAL3		157	377	129	241	669	477	311	269
RCAN3		156	263	53	204	502	372	207	163
NCMAP		0	0	0	0	0	0	34	0
SRRM1		351	622	125	422	679	535	410	396
CLIC4		756	1547	317	1040	2229	1251	1054	970
RUNX3		0	10	6	0	16	0	10	0
RUNX3-AS1		0	0	0	0	0	0	0	0
SYF2		94	395	132	142	580	233	262	183
RSRP1		163	712	157	287	842	482	504	183
ENSG00000272432		0	0	0	12	0	0	0	4
ENSG00000261349		0	10	2	5	46	19	3	4
RHD		4	38	4	1	35	24	14	15
SDHDP6		0	6	0	0	5	0	0	0
TMEM50A		199	565	192	462	1238	685	321	366
RHCE		9	33	21	1	9	24	18	0
ENSG00000238084		0	0	0	0	2	2	1	0
MACO1		25	33	34	21	190	121	93	78
LDLRAP1		57	336	156	252	323	256	237	181
ENSG00000225643		0	0	0	0	0	0	0	0
MAN1C1		0	14	0	0	4	0	0	24
ENSG00000233478		0	0	0	0	0	0	0	0
SELENON		547	1189	322	594	1704	1097	727	713
ENSG00000228172		1	6	0	0	36	0	0	0
MTFR1L		75	86	46	44	125	123	68	80
AUNIP		31	8	2	77	49	30	34	32
PAQR7		40	55	2	33	118	63	95	11
STMN1		186	307	128	296	291	457	46	199
PAFAH2		64	108	64	86	190	26	37	76
EXTL1		14	8	0	0	6	0	2	0
PDIK1L		90	75	62	50	157	117	56	58
FAM110D		0	0	0	0	0	22	0	0
ZNF593		14	0	0	0	0	0	0	0
ZNF593OS		0	0	0	0	4	12	0	0
CNKSR1		0	6	0	0	0	0	6	0
ENSG00000278572		0	0	0	0	1	0	0	0
CEP85		277	190	21	184	328	300	116	230
ENSG00000270733		0	8	0	10	4	0	0	0
SH3BGRL3		233	1329	344	631	1835	1315	857	733
UBXN11		113	293	68	166	405	195	200	214
CD52		0	0	0	0	0	0	0	0
CRYBG2		0	8	14	0	72	18	2	12
DHDDS		112	258	34	90	495	202	289	253
RPL17P9		8	0	0	0	0	0	0	0
DHDDS-AS1		14	0	7	0	10	0	0	0
HMGN2		357	634	215	698	1203	1051	408	475
RPS6KA1		147	547	280	321	1053	378	766	394
RN7SL679P		6	22	0	16	24	14	14	12
ENSG00000260063		0	4	2	0	0	0	0	10
ARID1A		692	1568	318	1207	2419	1081	893	834
PIGV		31	80	13	26	179	46	50	38
ZDHHC18		295	812	199	397	1408	686	560	627
SFN		322	707	197	431	899	772	300	396
GPN2		56	254	61	246	548	226	245	164
GPATCH3		29	71	6	130	202	132	76	46
NUDC		648	1218	522	685	1566	1391	444	706
KDF1		0	8	0	11	16	30	2	50
RPL12P13		1	0	0	0	0	0	0	0
OSTCP2		0	0	0	4	4	0	0	0
TRNP1		3849	9092	3045	5249	15564	9328	4917	5576
TENT5B		83	60	40	183	165	102	26	12
SLC9A1		247	472	104	324	698	397	276	400
CHCHD3P3		2	2	0	0	3	1	1	6
NPM1P39		54	67	34	44	105	138	71	67
WDTC1		252	879	206	535	1292	702	552	466
ENSG00000252098		0	0	0	0	0	0	9	0
ENSG00000243659		0	0	0	0	5	0	0	0
TMEM222		147	302	74	108	508	210	183	157
RNU6-48P		2	1	0	0	1	1	5	1
ACTG1P20		0	16	14	0	0	0	0	0
SYTL1		2	28	6	45	96	67	32	31
MAP3K6		208	350	96	187	475	276	214	198
GPR3		2	26	0	8	11	4	37	5
WASF2		933	2507	628	1450	4416	2313	1860	1500
ENSG00000241169		6	6	0	26	34	18	1	0
ENSG00000237429		0	1	0	10	2	8	4	0
AHDC1		486	1659	592	945	2815	1163	895	932
FGR		0	0	0	0	22	0	0	0
ENSG00000235912		6	9	0	15	4	29	9	9
LINC02574		0	0	0	0	0	0	0	0
IFI6		10	19	8	18	90	31	3	48
ENSG00000225886		0	11	0	0	0	0	16	0
FAM76A		16	54	34	47	36	37	12	26
ENSG00000231344		0	0	0	0	0	0	0	0
STX12		78	164	4	108	292	260	91	62
ENSG00000269971		0	0	0	5	0	0	0	0
ENSG00000270031		0	0	0	0	0	0	0	18
PPP1R8		16	127	18	66	218	237	29	179
SCARNA1		32	80	32	30	152	62	77	31
THEMIS2		0	24	0	0	0	3	0	0
RPA2		234	221	80	158	444	187	160	168
SMPDL3B		0	8	0	0	4	24	0	2
XKR8		80	174	34	105	351	123	83	59
EYA3		176	322	73	229	529	233	274	138
ENSG00000238231		0	0	0	0	0	0	0	0
RN7SL559P		0	6	0	0	13	7	0	6
SPCS2P4		37	34	2	18	104	43	18	19
ARL8BP2		0	0	2	0	0	0	0	0
PTAFR		14	14	0	4	0	14	10	10
DNAJC8		297	223	92	308	776	446	219	222
ATP5IF1		162	450	127	385	609	423	335	348
ENSG00000270605		20	0	4	10	8	0	0	0
SESN2		114	338	103	216	457	279	317	183
MED18		36	138	16	129	216	207	62	100
PHACTR4		151	264	149	285	510	384	212	212
ENSG00000206779		0	0	0	0	20	0	4	0
DNAJC8P4		0	0	0	6	0	11	0	0
RNU6ATAC27P		0	0	0	0	0	0	0	0
RCC1		432	514	149	393	920	783	384	283
SNHG3		176	454	92	446	639	535	279	325
SNORA73B		5985	16583	3107	8809	29993	15833	11244	6965
