Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-5.7,9.4,7.8,30284,339,76,8,11,3.5,1543|2635|3032|5743|7412|8140|11093|54658,CYP1A1|GBP3|HADHB|PTGS2|VCAM1|SLC7A5|ADAMTS13|UGT1A1,-2.4,MyList
GO Biological Processes,19,GO:0008210,estrogen metabolic process,19_GO:0065007 biological regulation,-5.6,41,12,30284,39,76,4,5.3,2.6,1543|1545|25976|54658,CYP1A1|CYP1B1|TIPARP|UGT1A1,-2.3,MyList
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-5.5,8.8,7.5,30284,361,76,8,11,3.5,1543|2635|3032|5743|7412|8140|11093|54658,CYP1A1|GBP3|HADHB|PTGS2|VCAM1|SLC7A5|ADAMTS13|UGT1A1,-2.2,MyList
GO Biological Processes,19,GO:0008202,steroid metabolic process,19_GO:0009987 cellular process,-5.4,11,8,30284,257,76,7,9.2,3.3,1543|1545|1591|8856|25976|25987|54658,CYP1A1|CYP1B1|CYP24A1|NR1I2|TIPARP|TSKU|UGT1A1,-2.2,MyList
WikiPathways,27,WP2881,Estrogen receptor pathway,,-5.4,92,16,30284,13,76,3,3.9,2.2,1543|1545|5465,CYP1A1|CYP1B1|PPARA,-2.2,MyList
WikiPathways,27,WP2586,Aryl hydrocarbon receptor pathway,,-5.3,35,11,30284,46,76,4,5.3,2.6,1543|1545|5743|57491,CYP1A1|CYP1B1|PTGS2|AHRR,-2.1,MyList
Reactome Gene Sets,6,R-HSA-211945,Phase I - Functionalization of compounds,,-5.2,19,9.3,30284,104,76,5,6.6,2.8,218|1543|1545|1591|57491,ALDH3A1|CYP1A1|CYP1B1|CYP24A1|AHRR,-2.1,MyList
GO Biological Processes,19,GO:0007567,parturition,19_GO:0022414 reproductive process,-5.2,80,15,30284,15,76,3,3.9,2.2,1543|8605|23764,CYP1A1|PLA2G4C|MAFF,-2.1,MyList
KEGG Pathway,24,hsa04913,Ovarian steroidogenesis,,-5,31,11,30284,52,76,4,5.3,2.6,1543|1545|5743|8605,CYP1A1|CYP1B1|PTGS2|PLA2G4C,-2,MyList
GO Biological Processes,19,GO:0001676,long-chain fatty acid metabolic process,19_GO:0009987 cellular process,-5,18,9,30284,111,76,5,6.6,2.8,1543|1545|5743|8605|51703,CYP1A1|CYP1B1|PTGS2|PLA2G4C|ACSL5,-2,MyList
GO Biological Processes,19,GO:0071466,cellular response to xenobiotic stimulus,19_GO:0050896 response to stimulus,-5,12,7.9,30284,197,76,6,7.9,3.1,218|1543|1545|8856|54658|57491,ALDH3A1|CYP1A1|CYP1B1|NR1I2|UGT1A1|AHRR,-2,MyList
WikiPathways,27,WP697,Estrogen metabolism,,-4.9,66,14,30284,18,76,3,3.9,2.2,1543|1545|54658,CYP1A1|CYP1B1|UGT1A1,-1.9,MyList
GO Biological Processes,19,GO:0009410,response to xenobiotic stimulus,19_GO:0050896 response to stimulus,-4.9,7.3,6.6,30284,437,76,8,11,3.5,218|1543|1545|4862|5743|8856|54658|57491,ALDH3A1|CYP1A1|CYP1B1|NPAS2|PTGS2|NR1I2|UGT1A1|AHRR,-1.9,MyList
GO Biological Processes,19,GO:0019369,arachidonate metabolic process,19_GO:0009987 cellular process,-4.8,27,10,30284,59,76,4,5.3,2.6,1543|1545|5743|8605,CYP1A1|CYP1B1|PTGS2|PLA2G4C,-1.9,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-4.8,7.2,6.6,30284,441,76,8,11,3.5,290|1545|2069|2838|5743|6654|7477|25976,ANPEP|CYP1B1|EREG|GPR15|PTGS2|SOS1|WNT7B|TIPARP,-1.9,MyList
KEGG Pathway,24,hsa05207,Chemical carcinogenesis - receptor activation,,-4.8,11,7.5,30284,215,76,6,7.9,3.1,1543|1545|5465|6654|54658|84699,CYP1A1|CYP1B1|PPARA|SOS1|UGT1A1|CREB3L3,-1.8,MyList
Reactome Gene Sets,6,R-HSA-211897,Cytochrome P450 - arranged by substrate type,,-4.7,25,9.5,30284,65,76,4,5.3,2.6,1543|1545|1591|57491,CYP1A1|CYP1B1|CYP24A1|AHRR,-1.7,MyList
GO Biological Processes,19,GO:0006081,aldehyde metabolic process,19_GO:0009987 cellular process,-4.6,23,9.3,30284,68,76,4,5.3,2.6,218|1545|132158|195814,ALDH3A1|CYP1B1|GLYCTK|SDR16C5,-1.7,MyList
GO Biological Processes,19,GO:0032098,regulation of appetite,19_GO:0050896 response to stimulus,-4.5,50,12,30284,24,76,3,3.9,2.2,5465|6581|9518,PPARA|SLC22A3|GDF15,-1.6,MyList
KEGG Pathway,24,hsa05204,Chemical carcinogenesis - DNA adducts,,-4.5,22,9.1,30284,71,76,4,5.3,2.6,1543|1545|5743|54658,CYP1A1|CYP1B1|PTGS2|UGT1A1,-1.6,MyList
GO Biological Processes,19,GO:0042178,xenobiotic catabolic process,19_GO:0050896 response to stimulus,-4.5,48,12,30284,25,76,3,3.9,2.2,1543|8856|54658,CYP1A1|NR1I2|UGT1A1,-1.6,MyList
GO Biological Processes,19,GO:0120254,olefinic compound metabolic process,19_GO:0009987 cellular process,-4.4,13,7.6,30284,148,76,5,6.6,2.8,1543|1545|5743|8605|195814,CYP1A1|CYP1B1|PTGS2|PLA2G4C|SDR16C5,-1.6,MyList
KEGG Pathway,24,hsa00980,Metabolism of xenobiotics by cytochrome P450,,-4.3,20,8.6,30284,79,76,4,5.3,2.6,218|1543|1545|54658,ALDH3A1|CYP1A1|CYP1B1|UGT1A1,-1.5,MyList
Reactome Gene Sets,6,R-HSA-8978868,Fatty acid metabolism,,-4.3,12,7.2,30284,162,76,5,6.6,2.8,1543|1545|3032|5743|51703,CYP1A1|CYP1B1|HADHB|PTGS2|ACSL5,-1.4,MyList
GO Biological Processes,19,GO:0001523,retinoid metabolic process,19_GO:0009987 cellular process,-4.2,19,8.3,30284,83,76,4,5.3,2.6,1543|1545|54658|195814,CYP1A1|CYP1B1|UGT1A1|SDR16C5,-1.4,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.2,6,5.8,30284,534,76,8,11,3.5,290|1545|2069|2838|5743|6654|7477|25976,ANPEP|CYP1B1|EREG|GPR15|PTGS2|SOS1|WNT7B|TIPARP,-1.4,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-4.2,5.2,5.6,30284,694,76,9,12,3.7,290|1545|2069|2838|5743|6654|7477|25976|84913,ANPEP|CYP1B1|EREG|GPR15|PTGS2|SOS1|WNT7B|TIPARP|ATOH8,-1.4,MyList
GO Biological Processes,19,GO:0033280,response to vitamin D,19_GO:0050896 response to stimulus,-4.2,39,10,30284,31,76,3,3.9,2.2,360|1591|5743,AQP3|CYP24A1|PTGS2,-1.4,MyList
GO Biological Processes,19,GO:0046209,nitric oxide metabolic process,19_GO:0009987 cellular process,-4.2,39,10,30284,31,76,3,3.9,2.2,1543|1545|5465,CYP1A1|CYP1B1|PPARA,-1.4,MyList
GO Biological Processes,19,GO:0033273,response to vitamin,19_GO:0050896 response to stimulus,-4.2,19,8.2,30284,86,76,4,5.3,2.6,360|1543|1591|5743,AQP3|CYP1A1|CYP24A1|PTGS2,-1.4,MyList
GO Biological Processes,19,GO:0016101,diterpenoid metabolic process,19_GO:0009987 cellular process,-4.1,18,8.1,30284,88,76,4,5.3,2.6,1543|1545|54658|195814,CYP1A1|CYP1B1|UGT1A1|SDR16C5,-1.4,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.1,5.7,5.7,30284,556,76,8,11,3.5,290|1545|2069|2838|5743|6654|7477|25976,ANPEP|CYP1B1|EREG|GPR15|PTGS2|SOS1|WNT7B|TIPARP,-1.4,MyList
GO Biological Processes,19,GO:2001057,reactive nitrogen species metabolic process,19_GO:0009987 cellular process,-4.1,36,10,30284,33,76,3,3.9,2.2,1543|1545|5465,CYP1A1|CYP1B1|PPARA,-1.4,MyList
GO Biological Processes,19,GO:0009617,response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.1,4.9,5.4,30284,726,76,9,12,3.7,1543|2635|3032|4938|5743|7412|8140|11093|54658,CYP1A1|GBP3|HADHB|OAS1|PTGS2|VCAM1|SLC7A5|ADAMTS13|UGT1A1,-1.4,MyList
WikiPathways,27,WP299,Nuclear receptors in lipid metabolism and toxicity,,-4,34,9.8,30284,35,76,3,3.9,2.2,1591|5465|8856,CYP24A1|PPARA|NR1I2,-1.3,MyList
GO Biological Processes,19,GO:0034612,response to tumor necrosis factor,19_GO:0050896 response to stimulus,-4,11,6.8,30284,181,76,5,6.6,2.8,1545|2635|5743|7412|11093,CYP1B1|GBP3|PTGS2|VCAM1|ADAMTS13,-1.3,MyList
Reactome Gene Sets,6,R-HSA-1989781,PPARA activates gene expression,,-4,17,7.7,30284,96,76,4,5.3,2.6,1543|4862|5465|57491,CYP1A1|NPAS2|PPARA|AHRR,-1.3,MyList
GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0009987 cellular process,-4,11,6.7,30284,184,76,5,6.6,2.8,4938|5465|9962|80201|132158,OAS1|PPARA|SLC23A2|HKDC1|GLYCTK,-1.3,MyList
Reactome Gene Sets,6,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,,-4,16,7.6,30284,97,76,4,5.3,2.6,1543|4862|5465|57491,CYP1A1|NPAS2|PPARA|AHRR,-1.3,MyList
GO Biological Processes,19,GO:0006721,terpenoid metabolic process,19_GO:0009987 cellular process,-3.9,16,7.5,30284,99,76,4,5.3,2.6,1543|1545|54658|195814,CYP1A1|CYP1B1|UGT1A1|SDR16C5,-1.3,MyList
GO Biological Processes,19,GO:0030522,intracellular receptor signaling pathway,19_GO:0050896 response to stimulus,-3.9,10,6.6,30284,191,76,5,6.6,2.8,1591|4938|5465|8856|57491,CYP24A1|OAS1|PPARA|NR1I2|AHRR,-1.3,MyList
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-3.9,6.2,5.6,30284,449,76,7,9.2,3.3,2069|2635|4862|4938|5743|9424|84699,EREG|GBP3|NPAS2|OAS1|PTGS2|KCNK6|CREB3L3,-1.2,MyList
GO Biological Processes,19,GO:0033559,unsaturated fatty acid metabolic process,19_GO:0009987 cellular process,-3.9,15,7.3,30284,104,76,4,5.3,2.6,1543|1545|5743|8605,CYP1A1|CYP1B1|PTGS2|PLA2G4C,-1.2,MyList
GO Biological Processes,19,GO:0045923,positive regulation of fatty acid metabolic process,19_GO:0048518 positive regulation of biological process,-3.9,30,9.2,30284,40,76,3,3.9,2.2,5465|5743|9518,PPARA|PTGS2|GDF15,-1.2,MyList
GO Biological Processes,19,GO:0019217,regulation of fatty acid metabolic process,19_GO:0050789 regulation of biological process,-3.8,15,7.1,30284,109,76,4,5.3,2.6,5465|5743|9518|54658,PPARA|PTGS2|GDF15|UGT1A1,-1.2,MyList
GO Biological Processes,19,GO:0042445,hormone metabolic process,19_GO:0065007 biological regulation,-3.8,9.7,6.3,30284,205,76,5,6.6,2.8,1543|1545|25976|54658|195814,CYP1A1|CYP1B1|TIPARP|UGT1A1|SDR16C5,-1.2,MyList
GO Biological Processes,19,GO:0071407,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-3.7,5.9,5.4,30284,472,76,7,9.2,3.3,1543|1545|1591|5465|5743|25976|54658,CYP1A1|CYP1B1|CYP24A1|PPARA|PTGS2|TIPARP|UGT1A1,-1.1,MyList
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.7,9.4,6.2,30284,212,76,5,6.6,2.8,2635|3032|5743|8140|11093,GBP3|HADHB|PTGS2|SLC7A5|ADAMTS13,-1.1,MyList
GO Biological Processes,19,GO:0048871,multicellular organismal-level homeostasis,19_GO:0042592 homeostatic process,-3.7,5,5.1,30284,638,76,8,11,3.5,360|4938|5743|6654|7032|8878|9518|25987,AQP3|OAS1|PTGS2|SOS1|TFF2|SQSTM1|GDF15|TSKU,-1.1,MyList
Canonical Pathways,11,M60,PID NFAT TFPATHWAY,,-3.7,27,8.6,30284,45,76,3,3.9,2.2,2635|5743|6520,GBP3|PTGS2|SLC3A2,-1.1,MyList
WikiPathways,27,WP4659,Gastrin signaling,,-3.7,14,6.9,30284,115,76,4,5.3,2.6,5743|6550|6654|7032,PTGS2|SLC9A3|SOS1|TFF2,-1.1,MyList
GO Biological Processes,19,GO:0006690,icosanoid metabolic process,19_GO:0009987 cellular process,-3.7,14,6.9,30284,115,76,4,5.3,2.6,1543|1545|5743|8605,CYP1A1|CYP1B1|PTGS2|PLA2G4C,-1.1,MyList
Reactome Gene Sets,6,R-HSA-211859,Biological oxidations,,-3.7,9.3,6.1,30284,215,76,5,6.6,2.8,218|1543|1545|1591|57491,ALDH3A1|CYP1A1|CYP1B1|CYP24A1|AHRR,-1.1,MyList
GO Biological Processes,19,GO:0006720,isoprenoid metabolic process,19_GO:0009987 cellular process,-3.6,13,6.8,30284,120,76,4,5.3,2.6,1543|1545|54658|195814,CYP1A1|CYP1B1|UGT1A1|SDR16C5,-1.1,MyList
GO Biological Processes,19,GO:0070482,response to oxygen levels,19_GO:0050896 response to stimulus,-3.6,6.9,5.5,30284,347,76,6,7.9,3.1,360|1543|5465|5743|7412|8140,AQP3|CYP1A1|PPARA|PTGS2|VCAM1|SLC7A5,-1.1,MyList
GO Biological Processes,19,GO:0042908,xenobiotic transport,19_GO:0051179 localization,-3.6,25,8.3,30284,48,76,3,3.9,2.2,6581|8140|8856,SLC22A3|SLC7A5|NR1I2,-1.1,MyList
GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.6,8.8,5.9,30284,226,76,5,6.6,2.8,2635|3032|5743|8140|11093,GBP3|HADHB|PTGS2|SLC7A5|ADAMTS13,-1.1,MyList
GO Biological Processes,19,GO:0042572,retinol metabolic process,19_GO:0065007 biological regulation,-3.5,23,8,30284,52,76,3,3.9,2.2,1543|1545|195814,CYP1A1|CYP1B1|SDR16C5,-1,MyList
GO Biological Processes,19,GO:0045471,response to ethanol,19_GO:0050896 response to stimulus,-3.5,12,6.4,30284,131,76,4,5.3,2.6,5465|7412|9962|54658,PPARA|VCAM1|SLC23A2|UGT1A1,-0.97,MyList
GO Biological Processes,19,GO:0045834,positive regulation of lipid metabolic process,19_GO:0048518 positive regulation of biological process,-3.4,12,6.4,30284,133,76,4,5.3,2.6,1917|5465|5743|9518,EEF1A2|PPARA|PTGS2|GDF15,-0.95,MyList
Reactome Gene Sets,6,R-HSA-400253,Circadian Clock,,-3.4,22,7.7,30284,55,76,3,3.9,2.2,4862|5465|102724428,NPAS2|PPARA|LOC102724428,-0.95,MyList
Reactome Gene Sets,6,R-HSA-2142753,Arachidonate metabolism,,-3.4,21,7.6,30284,56,76,3,3.9,2.2,1543|1545|5743,CYP1A1|CYP1B1|PTGS2,-0.93,MyList
GO Biological Processes,19,GO:0051384,response to glucocorticoid,19_GO:0050896 response to stimulus,-3.4,12,6.3,30284,136,76,4,5.3,2.6,1545|5743|7477|54658,CYP1B1|PTGS2|WNT7B|UGT1A1,-0.93,MyList
GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-3.4,7.9,5.5,30284,252,76,5,6.6,2.8,2635|3032|5743|8140|11093,GBP3|HADHB|PTGS2|SLC7A5|ADAMTS13,-0.89,MyList
WikiPathways,27,WP2884,NRF2 pathway,,-3.4,11,6.2,30284,141,76,4,5.3,2.6,218|8878|23764|54658,ALDH3A1|SQSTM1|MAFF|UGT1A1,-0.89,MyList
GO Biological Processes,19,GO:0009636,response to toxic substance,19_GO:0050896 response to stimulus,-3.4,7.9,5.5,30284,253,76,5,6.6,2.8,1543|1545|5743|6581|11093,CYP1A1|CYP1B1|PTGS2|SLC22A3|ADAMTS13,-0.89,MyList
GO Biological Processes,19,GO:0010817,regulation of hormone levels,19_GO:0065007 biological regulation,-3.3,5.1,4.8,30284,548,76,7,9.2,3.3,1543|1545|6520|8140|25976|54658|195814,CYP1A1|CYP1B1|SLC3A2|SLC7A5|TIPARP|UGT1A1|SDR16C5,-0.89,MyList
GO Biological Processes,19,GO:0010565,regulation of ketone metabolic process,19_GO:0050789 regulation of biological process,-3.3,11,6.1,30284,143,76,4,5.3,2.6,5465|5743|9518|54658,PPARA|PTGS2|GDF15|UGT1A1,-0.88,MyList
WikiPathways,27,WP43,Oxidation by cytochrome P450,,-3.3,19,7.2,30284,62,76,3,3.9,2.2,1543|1545|1591,CYP1A1|CYP1B1|CYP24A1,-0.84,MyList
KEGG Pathway,24,hsa00140,Steroid hormone biosynthesis,,-3.3,19,7.2,30284,63,76,3,3.9,2.2,1543|1545|54658,CYP1A1|CYP1B1|UGT1A1,-0.83,MyList
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-3.2,4.2,4.5,30284,751,76,8,11,3.5,1953|2069|4586|7053|7477|9518|11093|80274,MEGF6|EREG|MUC5AC|TGM3|WNT7B|GDF15|ADAMTS13|SCUBE1,-0.8,MyList
GO Biological Processes,19,GO:0002931,response to ischemia,19_GO:0050896 response to stimulus,-3.2,18,7,30284,65,76,3,3.9,2.2,360|6654|8878,AQP3|SOS1|SQSTM1,-0.8,MyList
GO Biological Processes,19,GO:0015711,organic anion transport,19_GO:0051179 localization,-3.2,5.8,4.9,30284,413,76,6,7.9,3.1,5743|6520|6581|8140|9962|219855,PTGS2|SLC3A2|SLC22A3|SLC7A5|SLC23A2|SLC37A2,-0.79,MyList
GO Biological Processes,19,GO:0071356,cellular response to tumor necrosis factor,19_GO:0050896 response to stimulus,-3.2,10,5.8,30284,155,76,4,5.3,2.6,1545|2635|7412|11093,CYP1B1|GBP3|VCAM1|ADAMTS13,-0.78,MyList
GO Biological Processes,19,GO:0097305,response to alcohol,19_GO:0050896 response to stimulus,-3.2,7.2,5.2,30284,275,76,5,6.6,2.8,1545|5465|7412|9962|54658,CYP1B1|PPARA|VCAM1|SLC23A2|UGT1A1,-0.77,MyList
GO Biological Processes,19,GO:0031960,response to corticosteroid,19_GO:0050896 response to stimulus,-3.2,10,5.8,30284,157,76,4,5.3,2.6,1545|5743|7477|54658,CYP1B1|PTGS2|WNT7B|UGT1A1,-0.77,MyList
KEGG Pathway,24,hsa00830,Retinol metabolism,,-3.2,18,6.9,30284,68,76,3,3.9,2.2,1543|54658|195814,CYP1A1|UGT1A1|SDR16C5,-0.77,MyList
KEGG Pathway,24,hsa04150,mTOR signaling pathway,,-3.2,10,5.7,30284,158,76,4,5.3,2.6,6520|6654|7477|8140,SLC3A2|SOS1|WNT7B|SLC7A5,-0.77,MyList
GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-3.1,5.6,4.8,30284,428,76,6,7.9,3.1,1543|1545|7477|8140|54658|79152,CYP1A1|CYP1B1|WNT7B|SLC7A5|UGT1A1|FA2H,-0.75,MyList
GO Biological Processes,19,GO:0019318,hexose metabolic process,19_GO:0009987 cellular process,-3.1,9.9,5.7,30284,161,76,4,5.3,2.6,4938|5465|80201|132158,OAS1|PPARA|HKDC1|GLYCTK,-0.75,MyList
GO Biological Processes,19,GO:0048545,response to steroid hormone,19_GO:0050896 response to stimulus,-3.1,7,5.1,30284,284,76,5,6.6,2.8,1545|5465|5743|7477|54658,CYP1B1|PPARA|PTGS2|WNT7B|UGT1A1,-0.74,MyList
GO Biological Processes,19,GO:0043434,response to peptide hormone,19_GO:0050896 response to stimulus,-3.1,5.5,4.8,30284,431,76,6,7.9,3.1,1545|2069|3484|5465|5743|6654,CYP1B1|EREG|IGFBP1|PPARA|PTGS2|SOS1,-0.74,MyList
GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-3.1,4.1,4.3,30284,787,76,8,11,3.5,1545|2069|2635|4938|6654|7032|7412|11093,CYP1B1|EREG|GBP3|OAS1|SOS1|TFF2|VCAM1|ADAMTS13,-0.72,MyList
GO Biological Processes,19,GO:0098739,import across plasma membrane,19_GO:0051179 localization,-3.1,9.7,5.6,30284,165,76,4,5.3,2.6,6520|6550|8140|10723,SLC3A2|SLC9A3|SLC7A5|SLC12A7,-0.72,MyList
WikiPathways,27,WP5087,Pleural mesothelioma,,-3.1,5.4,4.7,30284,439,76,6,7.9,3.1,3910|6520|6654|7477|8140|64840,LAMA4|SLC3A2|SOS1|WNT7B|SLC7A5|PORCN,-0.71,MyList
GO Biological Processes,19,GO:0030258,lipid modification,19_GO:0009987 cellular process,-3.1,9.5,5.6,30284,167,76,4,5.3,2.6,1543|3032|64840|79152,CYP1A1|HADHB|PORCN|FA2H,-0.71,MyList
GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0009987 cellular process,-3,5.4,4.7,30284,445,76,6,7.9,3.1,4938|5465|6520|9962|80201|132158,OAS1|PPARA|SLC3A2|SLC23A2|HKDC1|GLYCTK,-0.69,MyList
GO Biological Processes,19,GO:0051056,regulation of small GTPase mediated signal transduction,19_GO:0050896 response to stimulus,-3,6.6,4.9,30284,303,76,5,6.6,2.8,6654|8878|51291|57186|253980,SOS1|SQSTM1|GMIP|RALGAPA2|KCTD13,-0.65,MyList
GO Biological Processes,19,GO:0032890,regulation of organic acid transport,19_GO:0051179 localization,-3,15,6.4,30284,78,76,3,3.9,2.2,5465|8140|51703,PPARA|SLC7A5|ACSL5,-0.65,MyList
GO Biological Processes,19,GO:0046942,carboxylic acid transport,19_GO:0051179 localization,-3,6.6,4.9,30284,304,76,5,6.6,2.8,5743|6520|6581|8140|9962,PTGS2|SLC3A2|SLC22A3|SLC7A5|SLC23A2,-0.65,MyList
GO Biological Processes,19,GO:0015849,organic acid transport,19_GO:0051179 localization,-3,6.5,4.9,30284,305,76,5,6.6,2.8,5743|6520|6581|8140|9962,PTGS2|SLC3A2|SLC22A3|SLC7A5|SLC23A2,-0.65,MyList
GO Biological Processes,19,GO:0001666,response to hypoxia,19_GO:0050896 response to stimulus,-3,6.5,4.9,30284,305,76,5,6.6,2.8,360|1543|5465|5743|7412,AQP3|CYP1A1|PPARA|PTGS2|VCAM1,-0.65,MyList
Reactome Gene Sets,6,R-HSA-381119,Unfolded Protein Response (UPR),,-2.9,15,6.2,30284,81,76,3,3.9,2.2,3484|11015|84699,IGFBP1|KDELR3|CREB3L3,-0.62,MyList
WikiPathways,27,WP702,Metapathway biotransformation Phase I and II,,-2.9,8.7,5.2,30284,184,76,4,5.3,2.6,1543|1545|1591|54658,CYP1A1|CYP1B1|CYP24A1|UGT1A1,-0.59,MyList
GO Biological Processes,19,GO:0097009,energy homeostasis,19_GO:0042592 homeostatic process,-2.9,14,6.1,30284,84,76,3,3.9,2.2,8878|9518|25987,SQSTM1|GDF15|TSKU,-0.58,MyList
GO Biological Processes,19,GO:0036293,response to decreased oxygen levels,19_GO:0050896 response to stimulus,-2.9,6.2,4.7,30284,319,76,5,6.6,2.8,360|1543|5465|5743|7412,AQP3|CYP1A1|PPARA|PTGS2|VCAM1,-0.58,MyList
WikiPathways,27,WP2877,Vitamin D receptor pathway,,-2.9,8.5,5.2,30284,187,76,4,5.3,2.6,1543|1591|3484|219855,CYP1A1|CYP24A1|IGFBP1|SLC37A2,-0.58,MyList
GO Biological Processes,19,GO:0044703,multi-organism reproductive process,19_GO:0022414 reproductive process,-2.8,8.2,5,30284,195,76,4,5.3,2.6,1543|5743|8605|23764,CYP1A1|PTGS2|PLA2G4C|MAFF,-0.52,MyList
Canonical Pathways,11,M3008,NABA ECM GLYCOPROTEINS,,-2.8,8.1,5,30284,196,76,4,5.3,2.6,3484|3910|25987|342035,IGFBP1|LAMA4|TSKU|GLDN,-0.52,MyList
