_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.1,GO:0009617,response to bacterium,M1,1,0
1,-2.2,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-8.1,GO:0007584,response to nutrient,M1,1,0
1,-3.6,GO:0070482,response to oxygen levels,M1,1,0
1,-3,GO:0046942,carboxylic acid transport,M1,1,0
1,-2.7,GO:0042303,molting cycle,M1,1,0
1,-2.5,GO:0046718,symbiont entry into host cell,M1,1,0
1,-3,GO:0001666,response to hypoxia,M1,1,0
1,-2.1,GO:0031099,regeneration,M1,1,0
1,-2.7,GO:0015695,organic cation transport,M1,1,0
1,-2.6,GO:0097306,cellular response to alcohol,M1,1,0
